acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
0,1,0.0,prac,0,z,30000.0,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),49283.80000001192,O,m,965,,,6,yes,1,2495.199999988079,46788.60000002384,CSDBFPHXZ,CSDBFPHXZ,7020,LC,B,,,1
1,1,0.0,prac,1,m,30000.0,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),51783.200000047684,O,m,968,,,5,no,1,2493.600000023842,49289.60000002384,LNDPRSKQB,LNDPRSJQB,7020,LC,B,,,2
2,1,0.0,prac,1,m,30000.0,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),54132.5,O,m,823,,,1,no,1,2345.399999976158,51787.10000002384,RNV,FNV,7020,LC,B,,,3
3,1,0.0,prac,1,m,30000.0,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),56998.0,O,m,1345,,,3,no,1,2861.399999976158,54136.60000002384,QHZXPC,QHZWPC,7020,LC,B,,,4
4,1,0.0,prac,1,z,30000.0,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),59514.10000002384,O,z,992,,,4,yes,1,2512.300000011921,57001.80000001192,RSM,RSM,7020,LC,B,,,5
5,1,0.0,prac,1,z,30000.0,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),62313.10000002384,O,z,1275,,,2,yes,1,2794.600000023842,59518.5,NBGFSM,NBGFSM,7020,LC,B,,,6
1,1,0.9809999465942383,test,1,m,29019.00005340576,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),77142.0,O,m,974,974,,1,no,1,978.0999999642372,76163.90000003576,HCF,RCF,7020,LC,B,67625,,1
1,1,2.6469998359680176,test,0,m,27353.000164031982,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),78808.20000004768,O,z,1656,1656,,2,no,1,1662.9000000357628,77145.30000001192,QTPRJX,QTPNJX,7020,LC,B,68607,,2
2,1,4.230000019073486,test,1,m,25769.999980926514,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),80390.80000001192,O,m,1574,1574,,3,no,1,1579.300000011921,78811.5,MZDYGVGKQ,MZDYGLBKQ,7020,LC,B,70273,,3
3,1,5.312999963760376,test,1,m,24687.000036239624,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),81473.80000001192,O,m,1079,1079,,4,no,1,1079.5999999642372,80394.20000004768,FQTNMK,JQTNMK,7020,LC,B,71856,,4
4,1,6.178999900817871,test,1,z,23821.00009918213,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),82340.30000001192,O,z,852,852,,5,yes,1,863.3000000119209,81477.0,CLJ,CLJ,7020,LC,B,72939,,5
4,1,8.294999837875366,test,0,m,21705.000162124634,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),84456.20000004768,O,z,2098,2098,,6,no,1,2112.900000035763,82343.30000001192,JGDMNSVPW,JGZMNSVPW,7020,LC,B,73805,,6
5,1,10.779000043869019,test,1,z,19220.99995613098,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),86939.90000003576,O,z,2478,2478,,7,yes,1,2480.5,84459.40000003576,FPTVHKCBJ,FPTVHKCBJ,7020,LC,B,75921,,7
6,1,11.776999950408936,test,1,m,18223.000049591064,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),87938.30000001192,O,m,978,978,,8,no,1,995.0,86943.30000001192,XRPZBS,ZRPBDH,7020,LC,B,78405,,8
7,1,12.843999862670898,test,1,m,17156.0001373291,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),89004.90000003576,O,m,1052,1052,,9,no,1,1063.6000000238419,87941.30000001192,ZSQ,ZSP,7020,LC,B,79403,,9
8,1,14.609999895095825,test,1,z,15390.000104904175,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),90770.90000003576,O,z,1753,1753,,10,yes,1,1762.699999988079,89008.20000004768,MPZRXL,MPZRXL,7020,LC,B,80470,,10
9,1,15.658999919891357,test,1,m,14341.000080108643,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),91820.5,O,m,1036,1036,,11,no,1,1046.5,90774.0,KJH,KRH,7020,LC,B,82235,,11
10,1,18.29199981689453,test,1,z,11708.000183105469,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),94453.0,O,z,2618,2618,,12,yes,1,2629.399999976158,91823.60000002384,SMNHVTFCB,SMNHVTFCB,7020,LC,B,83285,,12
11,1,20.490999937057495,test,1,z,9509.000062942505,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),96652.30000001192,O,z,2185,2185,,13,yes,1,2196.300000011921,94456.0,KJWTQF,KJWTQF,7020,LC,B,85918,,13
12,1,22.990999937057495,test,1,z,7009.000062942505,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),99151.70000004768,O,z,2490,2490,,14,yes,1,2496.400000035763,96655.30000001192,CHDKQGLMB,CHDKQGLMB,7020,LC,B,88117,,14
13,1,23.957000017166138,test,1,z,6042.999982833862,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),100117.90000003576,O,z,959,959,,15,yes,1,962.9000000357628,99155.0,GHQ,GHQ,7020,LC,B,90616,,15
14,1,25.93999981880188,test,1,z,4060.00018119812,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),102100.80000001192,O,z,1977,1977,,16,yes,1,1979.800000011921,100121.0,GFVMRH,GFVMRH,7020,LC,B,91582,,16
15,1,26.85599994659424,test,1,z,3144.0000534057617,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),103017.0,O,z,898,898,,17,yes,1,913.0999999642372,102103.90000003576,RSM,RSM,7020,LC,B,93565,,17
15,1,30.00499987602234,test,0,m,-4.999876022338867,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),106166.20000004768,O,None,3145,3145,,18,no,1,3145.600000023842,103020.60000002384,BSRJTRMLG,BSFJTRMLG,7020,LC,B,94482,,18
1,2,2.183000087738037,test,1,z,27816.999912261963,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),111098.0,O,z,2164,,2164.0,1,yes,1,8077.399999976158,103020.60000002384,PRDBZTYFN,PRDBZTYFN,7020,LC,B,,100379.0,1
2,2,3.4660000801086426,test,1,m,26533.999919891357,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),112380.80000001192,O,m,1277,,1277.0,2,no,1,9360.199999988079,103020.60000002384,NCWJDZ,NCMJDZ,7020,LC,B,,102562.0,2
3,2,4.48199987411499,test,1,m,25518.00012588501,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),113397.20000004768,O,m,1002,,1002.0,3,no,1,10376.600000023842,103020.60000002384,KHW,KBW,7020,LC,B,,103845.0,3
4,2,5.73199987411499,test,1,m,24268.00012588501,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),114646.80000001192,O,m,1233,,1233.0,4,no,1,11626.199999988079,103020.60000002384,ZRBGMF,ZRBCMF,7020,LC,B,,104862.0,4
5,2,6.648000001907349,test,1,m,23351.99999809265,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),115563.10000002384,O,m,912,,912.0,5,no,1,12542.5,103020.60000002384,BTH,BYH,7020,LC,B,,106111.0,5
6,2,8.63100004196167,test,1,z,21368.99995803833,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),117545.90000003576,O,z,1971,,1971.0,6,yes,1,14525.300000011921,103020.60000002384,XWKQRYCNZ,XWKQRYCNZ,7020,LC,B,,107028.0,6
7,2,10.079999923706055,test,1,z,19920.000076293945,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),118995.20000004768,O,z,1445,,1445.0,7,yes,1,15974.600000023842,103020.60000002384,HNPDLK,HNPDLK,7020,LC,B,,109010.0,7
7,2,12.312999963760376,test,0,m,17687.000036239624,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),121228.30000001192,O,z,2219,,2219.0,8,no,1,18207.69999998808,103020.60000002384,WMQTRSGLZ,WMQTRZGLZ,7020,LC,B,,110460.0,8
8,2,13.246000051498413,test,1,z,16753.999948501587,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),122161.30000001192,O,z,914,,914.0,9,yes,1,19140.69999998808,103020.60000002384,JPN,JPN,7020,LC,B,,112693.0,9
9,2,14.38100004196167,test,1,m,15618.99995803833,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),123296.10000002384,O,m,1119,,1119.0,10,no,1,20275.5,103020.60000002384,QLXSVT,QLNSVT,7020,LC,B,,113626.0,10
10,2,16.111999988555908,test,1,z,13888.000011444092,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),125026.90000003576,O,z,1718,,1718.0,11,yes,1,22006.30000001192,103020.60000002384,YXHKZVFPB,YXHKZVFPD,7020,LC,B,,114760.0,11
11,2,17.210999965667725,test,1,z,12789.000034332275,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),126126.5,O,z,1084,,1084.0,12,yes,1,23105.899999976158,103020.60000002384,RJZ,RJZ,7020,LC,B,,116491.0,12
12,2,18.562000036239624,test,1,z,11437.999963760376,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),127477.5,O,z,1336,,1336.0,13,yes,1,24456.899999976158,103020.60000002384,CLNPZD,CLNPZD,7020,LC,B,,117591.0,13
13,2,20.026999950408936,test,1,m,9973.000049591064,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),128942.20000004768,O,m,1449,,1449.0,14,no,1,25921.600000023842,103020.60000002384,DCBPFHXYJ,DCBPFHLYJ,7020,LC,B,,118942.0,14
14,2,21.243000030517578,test,1,m,8756.999969482422,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),130158.5,O,m,1208,,1208.0,15,no,1,27137.899999976158,103020.60000002384,MWR,ZWR,7020,LC,B,,120407.0,15
15,2,22.710000038146973,test,1,z,7289.999961853027,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),131625.5,O,z,1456,,1456.0,16,yes,1,28604.899999976158,103020.60000002384,LPKXZW,LPKXZW,7020,LC,B,,121623.0,16
16,2,23.66000008583069,test,1,m,6339.9999141693115,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),132574.5,O,m,933,,933.0,17,no,1,29553.899999976158,103020.60000002384,TZL,TZQ,7020,LC,B,,123090.0,17
16,2,25.158999919891357,test,0,z,4841.000080108643,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),134074.0,O,m,1496,,1496.0,18,yes,1,31053.399999976158,103020.60000002384,CSDBFPHXZ,CSDBFPHXZ,7020,LC,B,,124039.0,18
17,2,26.993000030517578,test,1,m,3006.999969482422,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),135907.90000003576,O,m,1829,,1829.0,19,no,1,32887.30000001192,103020.60000002384,QHZXPC,QHZWPC,7020,LC,B,,125538.0,19
18,2,28.10800004005432,test,1,z,1891.9999599456787,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),137023.0,O,z,1099,,1099.0,20,yes,1,34002.39999997616,103020.60000002384,GZN,GZN,7020,LC,B,,127372.0,20
18,2,30.006999969482422,test,0,m,-6.999969482421875,Tue Oct 08 2024 10:46:29 GMT-0500 (Central Daylight Time),138922.40000003576,O,None,1896,,1896.0,21,no,1,35901.80000001192,103020.60000002384,JNWXHPFBD,JNWXHPFMD,7020,LC,B,,128487.0,21
