acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),36659.29999999702,I,z,2165,,,2,yes,1,3694.7999999970198,32964.5,NBGFSM,NBGFSM,8003,LC,A,,,1
2,1,0.0,prac,1,z,30000.0,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),40458.09999999404,I,z,2274,,,6,yes,1,3794.39999999851,36663.69999999553,CSDBFPHXZ,CSDBFPHXZ,8003,LC,A,,,2
3,1,0.0,prac,1,m,30000.0,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),42973.89999999851,I,m,978,,,1,no,1,2510.89999999851,40463.0,RNV,FNV,8003,LC,A,,,3
4,1,0.0,prac,1,z,30000.0,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),45822.89999999851,I,z,1327,,,4,yes,1,2844.7000000029802,42978.19999999553,RSM,RSM,8003,LC,A,,,4
4,1,0.0,prac,0,m,30000.0,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),50588.29999999702,I,z,3230,,,5,no,1,4760.79999999702,45827.5,LNDPRSKQB,LNDPRSJQB,8003,LC,A,,,5
4,1,0.0,prac,0,m,30000.0,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),54403.59999999404,I,z,2281,,,3,no,1,3810.89999999851,50592.69999999553,QHZXPC,QHZWPC,8003,LC,A,,,6
1,1,1.749000072479248,test,1,m,28250.999927520752,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),66199.69999999553,I,m,1740,1740,,1,no,1,1745.8999999985099,64453.79999999702,HCF,RCF,8003,LC,A,61634,,1
2,1,4.578000068664551,test,1,m,25421.99993133545,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),69029.5,I,m,2809,2809,,2,no,1,2826.0,66203.5,QTPRJX,QTPNJX,8003,LC,A,63384,,2
2,1,7.13100004196167,test,0,m,22868.99995803833,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),71581.79999999702,I,z,2536,2536,,3,no,1,2548.2999999970198,69033.5,MZDYGVGKQ,MZDYGLBKQ,8003,LC,A,66214,,3
3,1,8.21399998664856,test,1,m,21786.00001335144,Fri Oct 04 2024 10:40:24 GMT-0500 (Central Daylight Time),72664.89999999851,I,m,1064,1064,,4,no,1,1079.8999999985099,71585.0,FQTNMK,JQTNMK,8003,LC,A,68766,,4
