acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,bmadz,30000.0,enter,1671,,,,,,,,,,0
1,1.0,1,1.625,test,1,z,31668.30000001192,bmadz,28375.0,z,1611,,39.0,yes,1620.1000000238419,30048.19999998808,pipe_new_058a.bmp,pipe_new_058a.bmp,,,1
2,1.0,1,2.572000026702881,test,1,m,32614.899999976158,bmadz,27427.99997329712,m,935,,32.0,no,940.5999999642372,31674.30000001192,pipe_new_047a.bmp,pipe_new_048a.bmp,,,2
3,1.0,1,3.611999988555908,test,1,z,33654.60000002384,bmadz,26388.00001144409,z,1030,,7.0,yes,1034.4000000357628,32620.19999998808,pipe_new_010a.bmp,pipe_new_010a.bmp,,,3
4,1.0,1,4.638000011444092,test,1,z,34681.19999998808,bmadz,25361.99998855591,z,1008,,17.0,yes,1021.3999999761581,33659.80000001192,pipe_new_025a.bmp,pipe_new_025a.bmp,,,4
5,1.0,1,5.797999858856201,test,1,z,35841.19999998808,bmadz,24202.0001411438,z,1151,,11.0,yes,1154.800000011921,34686.39999997616,pipe_new_016a.bmp,pipe_new_016a.bmp,,,5
6,1.0,1,6.572000026702881,test,1,m,36614.5,bmadz,23427.99997329712,m,756,,38.0,no,768.3999999761581,35846.10000002384,pipe_new_056a.bmp,pipe_new_057a.bmp,,,6
7,1.0,1,7.638000011444092,test,1,m,37681.0,bmadz,22361.99998855591,m,1046,,28.0,no,1061.1000000238419,36619.89999997616,pipe_new_041a.bmp,pipe_new_042a.bmp,,,7
8,1.0,1,8.358000040054321,test,1,z,38401.19999998808,bmadz,21641.99995994568,z,711,,15.0,yes,715.3999999761581,37685.80000001192,pipe_new_022a.bmp,pipe_new_022a.bmp,,,8
9,1.0,1,9.065000057220459,test,1,m,39107.80000001192,bmadz,20934.99994277954,m,692,,36.0,no,701.5,38406.30000001192,pipe_new_053a.bmp,pipe_new_054a.bmp,,,9
10,1.0,1,9.878000020980835,test,1,m,39921.10000002384,bmadz,20121.999979019165,m,804,,14.0,no,808.1000000238419,39113.0,pipe_new_020a.bmp,pipe_new_021a.bmp,,,10
11,1.0,1,10.51799988746643,test,1,z,40561.10000002384,bmadz,19482.00011253357,z,621,,33.0,yes,634.9000000357628,39926.19999998808,pipe_new_049a.bmp,pipe_new_049a.bmp,,,11
12,1.0,1,11.29200005531311,test,1,m,41334.5,bmadz,18707.99994468689,m,755,,40.0,no,768.3999999761581,40566.10000002384,pipe_new_059a.bmp,pipe_new_060a.bmp,,,12
13,1.0,1,12.090999841690063,test,1,m,42134.39999997616,bmadz,17909.000158309937,m,783,,2.0,no,795.0999999642372,41339.30000001192,pipe_new_002a.bmp,pipe_new_003a.bmp,,,13
14,1.0,1,12.85099983215332,test,1,z,42894.5,bmadz,17149.00016784668,z,744,,5.0,yes,754.8000000119209,42139.69999998808,pipe_new_007a.bmp,pipe_new_007a.bmp,,,14
15,1.0,1,13.544999837875366,test,1,m,43587.80000001192,bmadz,16455.000162124634,m,679,,18.0,no,688.1999999880791,42899.60000002384,pipe_new_026a.bmp,pipe_new_027a.bmp,,,15
16,1.0,1,14.277999877929688,test,1,z,44321.0,bmadz,15722.000122070312,z,714,,13.0,yes,728.0,43593.0,pipe_new_019a.bmp,pipe_new_019a.bmp,,,16
16,1.0,1,14.930999994277954,test,0,z,44974.30000001192,bmadz,15069.000005722046,m,644,,29.0,yes,648.1999999880791,44326.10000002384,pipe_new_043a.bmp,pipe_new_043a.bmp,,,17
17,1.0,1,15.690999984741211,test,1,z,45734.30000001192,bmadz,14309.000015258789,z,744,,25.0,yes,754.9000000357628,44979.39999997616,pipe_new_037a.bmp,pipe_new_037a.bmp,,,18
18,1.0,1,16.477999925613403,test,1,z,46520.89999997616,bmadz,13522.000074386597,z,778,,31.0,yes,781.5999999642372,45739.30000001192,pipe_new_046a.bmp,pipe_new_046a.bmp,,,19
19,1.0,1,17.197999954223633,test,1,m,47240.89999997616,bmadz,12802.000045776367,m,710,,10.0,no,715.1999999880791,46525.69999998808,pipe_new_014a.bmp,pipe_new_015a.bmp,,,20
