 acc_mean  block  block_c  block_dur condition   correct correct_response  endtime multichar_response    resp_time response  response_time response_time_practice_response  row_sel same  start_end  starttime             stim1             stim2 subject_id time_practice  trial
        0    NaN        0      0.000      None undefined             None      NaN              bmadz 30000.000000    enter           5607                            None      NaN None        NaN        NaN              None              None       None          None      0
        1    1.0        1      1.317      test         1                m  36230.9              bmadz 28683.000088        m           1307                            None      8.0   no     1312.7    34918.2 pipe_new_011a.bmp pipe_new_012a.bmp       None          None      1
        2    1.0        1      2.250      test         1                z  37164.2              bmadz 27750.000000        z            924                            None     37.0  yes      927.4    36236.8 pipe_new_055a.bmp pipe_new_055a.bmp       None          None      2
        3    1.0        1      3.117      test         1                z  38030.6              bmadz 26883.000135        z            853                            None     19.0  yes      861.9    37168.7 pipe_new_028a.bmp pipe_new_028a.bmp       None          None      3
        4    1.0        1      4.083      test         1                z  38997.1              bmadz 25917.000055        z            956                            None     33.0  yes      960.2    38036.9 pipe_new_049a.bmp pipe_new_049a.bmp       None          None      4
        5    1.0        1      4.883      test         1                m  39797.2              bmadz 25117.000103        m            787                            None      4.0   no      795.3    39001.9 pipe_new_005a.bmp pipe_new_006a.bmp       None          None      5
        6    1.0        1      5.933      test         1                z  40847.2              bmadz 24067.000151        z           1038                            None      9.0  yes     1044.9    39802.3 pipe_new_013a.bmp pipe_new_013a.bmp       None          None      6
        7    1.0        1      6.900      test         1                z  41813.7              bmadz 23100.000143        z            951                            None     35.0  yes      960.8    40852.9 pipe_new_052a.bmp pipe_new_052a.bmp       None          None      7
        8    1.0        1      7.600      test         1                m  42513.7              bmadz 22400.000095        m            677                            None     20.0   no      694.3    41819.4 pipe_new_029a.bmp pipe_new_030a.bmp       None          None      8
        9    1.0        1      8.833      test         1                m  43747.0              bmadz 21167.000055        m           1210                            None     22.0   no     1228.0    42519.0 pipe_new_032a.bmp pipe_new_033a.bmp       None          None      9
       10    1.0        1     10.100      test         1                m  45013.4              bmadz 19900.000095        m           1248                            None     28.0   no     1260.3    43753.1 pipe_new_041a.bmp pipe_new_042a.bmp       None          None     10
       11    1.0        1     11.217      test         1                m  46130.3              bmadz 18782.999992        m           1106                            None     32.0   no     1115.4    45014.9 pipe_new_047a.bmp pipe_new_048a.bmp       None          None     11
       12    1.0        1     12.366      test         1                z  47280.1              bmadz 17634.000063        z           1129                            None      5.0  yes     1144.3    46135.8 pipe_new_007a.bmp pipe_new_007a.bmp       None          None     12
       13    1.0        1     13.316      test         1                m  48230.1              bmadz 16684.000015        m            931                            None     16.0   no      944.2    47285.9 pipe_new_023a.bmp pipe_new_024a.bmp       None          None     13
       14    1.0        1     14.133      test         1                m  49046.8              bmadz 15867.000103        m            801                            None     14.0   no      812.0    48234.8 pipe_new_020a.bmp pipe_new_021a.bmp       None          None     14
