acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,cashmoney,30000.0,enter,277,,,,,,,,,,0
1,1.0,1,0.7000000476837158,test,1,m,12362.10000000149,cashmoney,29299.999952316284,m,693,,24.0,no,697.0,11665.10000000149,pipe_new_035a.bmp,pipe_new_036a.bmp,,,1
2,1.0,1,1.2330000400543213,test,1,m,12895.10000000149,cashmoney,28766.99995994568,m,512,,2.0,no,529.2000000029802,12365.89999999851,pipe_new_002a.bmp,pipe_new_003a.bmp,,,2
3,1.0,1,1.8990001678466797,test,1,z,13561.60000000149,cashmoney,28100.99983215332,z,660,,27.0,yes,663.4000000059605,12898.19999999553,pipe_new_040a.bmp,pipe_new_040a.bmp,,,3
4,1.0,1,2.5329999923706055,test,1,z,14194.79999999702,cashmoney,27467.000007629395,z,618,,35.0,yes,630.3999999985099,13564.39999999851,pipe_new_052a.bmp,pipe_new_052a.bmp,,,4
5,1.0,1,3.0989999771118164,test,1,z,14761.10000000149,cashmoney,26901.000022888184,z,552,,1.0,yes,563.2000000029802,14197.89999999851,pipe_new_001a.bmp,pipe_new_001a.bmp,,,5
6,1.0,1,3.7150001525878906,test,1,z,15377.60000000149,cashmoney,26284.99984741211,z,602,,19.0,yes,613.5,14764.10000000149,pipe_new_028a.bmp,pipe_new_028a.bmp,,,6
7,1.0,1,4.215000152587891,test,1,z,15877.5,cashmoney,25784.99984741211,z,490,,39.0,yes,496.8999999985099,15380.60000000149,pipe_new_058a.bmp,pipe_new_058a.bmp,,,7
8,1.0,1,4.732000112533569,test,1,m,16393.79999999702,cashmoney,25267.99988746643,m,510,,36.0,no,513.2999999970198,15880.5,pipe_new_053a.bmp,pipe_new_054a.bmp,,,8
9,1.0,1,5.465000152587891,test,1,m,17127.0,cashmoney,24534.99984741211,m,713,,32.0,no,730.2000000029802,16396.79999999702,pipe_new_047a.bmp,pipe_new_048a.bmp,,,9
10,1.0,1,6.248000144958496,test,1,z,17910.19999999553,cashmoney,23751.999855041504,z,772,,33.0,yes,780.1999999955297,17130.0,pipe_new_049a.bmp,pipe_new_049a.bmp,,,10
11,1.0,1,6.930999994277954,test,1,m,18593.39999999851,cashmoney,23069.000005722046,m,669,,28.0,no,680.5,17912.89999999851,pipe_new_041a.bmp,pipe_new_042a.bmp,,,11
12,1.0,1,7.63100004196167,test,1,m,19292.89999999851,cashmoney,22368.99995803833,m,690,,16.0,no,696.6000000014901,18596.29999999702,pipe_new_023a.bmp,pipe_new_024a.bmp,,,12
13,1.0,1,8.180999994277954,test,1,z,19842.69999999553,cashmoney,21819.000005722046,z,535,,37.0,yes,547.0,19295.69999999553,pipe_new_055a.bmp,pipe_new_055a.bmp,,,13
14,1.0,1,9.014000177383423,test,1,z,20675.79999999702,cashmoney,20985.999822616577,z,825,,15.0,yes,830.0,19845.79999999702,pipe_new_022a.bmp,pipe_new_022a.bmp,,,14
15,1.0,1,9.597000122070312,test,1,m,21259.0,cashmoney,20402.999877929688,m,576,,8.0,no,580.5,20678.5,pipe_new_011a.bmp,pipe_new_012a.bmp,,,15
16,1.0,1,10.347000122070312,test,1,m,22009.10000000149,cashmoney,19652.999877929688,m,740,,22.0,no,747.2000000029802,21261.89999999851,pipe_new_032a.bmp,pipe_new_033a.bmp,,,16
17,1.0,1,10.980000019073486,test,1,z,22642.10000000149,cashmoney,19019.999980926514,z,626,,25.0,yes,630.2000000029802,22011.89999999851,pipe_new_037a.bmp,pipe_new_037a.bmp,,,17
18,1.0,1,11.763000011444092,test,1,z,23425.29999999702,cashmoney,18236.99998855591,z,769,,9.0,yes,780.3999999985099,22644.89999999851,pipe_new_013a.bmp,pipe_new_013a.bmp,,,18
19,1.0,1,12.463000059127808,test,1,m,24124.89999999851,cashmoney,17536.999940872192,m,682,,26.0,no,697.0,23427.89999999851,pipe_new_038a.bmp,pipe_new_039a.bmp,,,19
20,1.0,1,13.529000043869019,test,1,z,25191.10000000149,cashmoney,16470.99995613098,z,1046,,5.0,yes,1063.2000000029802,24127.89999999851,pipe_new_007a.bmp,pipe_new_007a.bmp,,,20
21,1.0,1,14.462000131607056,test,1,z,26124.29999999702,cashmoney,15537.999868392944,z,925,,29.0,yes,930.5,25193.79999999702,pipe_new_043a.bmp,pipe_new_043a.bmp,,,21
22,1.0,1,15.111999988555908,test,1,m,26774.10000000149,cashmoney,14888.000011444092,m,631,,18.0,no,647.1000000014901,26127.0,pipe_new_026a.bmp,pipe_new_027a.bmp,,,22
23,1.0,1,15.911999940872192,test,1,m,27574.0,cashmoney,14088.000059127808,m,789,,12.0,no,796.8000000044703,26777.19999999553,pipe_new_017a.bmp,pipe_new_018a.bmp,,,23
24,1.0,1,16.628000020980835,test,1,m,28290.39999999851,cashmoney,13371.999979019165,m,701,,10.0,no,713.7999999970198,27576.60000000149,pipe_new_014a.bmp,pipe_new_015a.bmp,,,24
25,1.0,1,17.361999988555908,test,1,z,29023.69999999553,cashmoney,12638.000011444092,z,729,,13.0,yes,730.7999999970198,28292.89999999851,pipe_new_019a.bmp,pipe_new_019a.bmp,,,25
26,1.0,1,18.07800006866455,test,1,m,29739.79999999702,cashmoney,11921.99993133545,m,700,,34.0,no,713.5,29026.29999999702,pipe_new_050a.bmp,pipe_new_051a.bmp,,,26
27,1.0,1,18.677000045776367,test,1,m,30339.60000000149,cashmoney,11322.999954223633,m,592,,30.0,no,597.1000000014901,29742.5,pipe_new_044a.bmp,pipe_new_045a.bmp,,,27
28,1.0,1,19.611000061035156,test,1,m,31272.79999999702,cashmoney,10388.999938964844,m,920,,20.0,no,930.6000000014901,30342.19999999553,pipe_new_029a.bmp,pipe_new_030a.bmp,,,28
29,1.0,1,20.55999994277954,test,1,m,32222.10000000149,cashmoney,9440.000057220459,m,931,,4.0,no,946.5,31275.60000000149,pipe_new_005a.bmp,pipe_new_006a.bmp,,,29
30,1.0,1,21.177000045776367,test,1,z,32838.69999999553,cashmoney,8822.999954223633,z,605,,7.0,yes,613.6999999955297,32225.0,pipe_new_010a.bmp,pipe_new_010a.bmp,,,30
31,1.0,1,21.927000045776367,test,1,z,33588.69999999553,cashmoney,8072.999954223633,z,733,,21.0,yes,747.2999999970198,32841.39999999851,pipe_new_031a.bmp,pipe_new_031a.bmp,,,31
32,1.0,1,22.4760000705719,test,1,m,34138.39999999851,cashmoney,7523.999929428101,m,542,,38.0,no,547.0,33591.39999999851,pipe_new_056a.bmp,pipe_new_057a.bmp,,,32
33,1.0,1,23.509000062942505,test,1,z,35171.29999999702,cashmoney,6490.999937057495,z,1025,,23.0,yes,1030.2999999970198,34141.0,pipe_new_034a.bmp,pipe_new_034a.bmp,,,33
34,1.0,1,24.026000022888184,test,1,m,35687.79999999702,cashmoney,5973.999977111816,m,495,,14.0,no,513.2999999970198,35174.5,pipe_new_020a.bmp,pipe_new_021a.bmp,,,34
35,1.0,1,24.659000158309937,test,1,m,36321.19999999553,cashmoney,5340.9998416900635,m,619,,6.0,no,630.5999999940395,35690.60000000149,pipe_new_008a.bmp,pipe_new_009a.bmp,,,35
36,1.0,1,25.242000102996826,test,1,z,36904.0,cashmoney,4757.999897003174,z,578,,11.0,yes,580.2000000029802,36323.79999999702,pipe_new_016a.bmp,pipe_new_016a.bmp,,,36
36,1.0,1,26.009000062942505,test,0,z,37670.69999999553,cashmoney,3990.999937057495,m,755,,17.0,yes,763.8999999985099,36906.79999999702,pipe_new_025a.bmp,pipe_new_025a.bmp,,,37
37,1.0,1,27.02500009536743,test,1,z,38687.0,cashmoney,2974.9999046325684,z,997,,31.0,yes,1013.7000000029802,37673.29999999702,pipe_new_046a.bmp,pipe_new_046a.bmp,,,38
38,1.0,1,27.891000032424927,test,1,m,39553.39999999851,cashmoney,2108.9999675750732,m,852,,40.0,no,863.6000000014901,38689.79999999702,pipe_new_059a.bmp,pipe_new_060a.bmp,,,39
38,1.0,1,30.006999969482422,test,0,z,41669.39999999851,cashmoney,-6.999969482421875,None,2112,,3.0,yes,2113.10000000149,39556.29999999702,pipe_new_004a.bmp,pipe_new_004a.bmp,,,40
1,2.0,2,0.7829999923706055,test,1,z,43118.69999999553,cashmoney,29217.000007629395,z,759,,13.0,yes,3562.39999999851,39556.29999999702,pipe_new_079a.bmp,pipe_new_079a.bmp,,,1
2,2.0,2,1.5329999923706055,test,1,z,43868.60000000149,cashmoney,28467.000007629395,z,732,,9.0,yes,4312.30000000447,39556.29999999702,pipe_new_073a.bmp,pipe_new_073a.bmp,,,2
3,2.0,2,2.2160000801086426,test,1,z,44551.69999999553,cashmoney,27783.999919891357,z,658,,39.0,yes,4995.39999999851,39556.29999999702,pipe_new_118a.bmp,pipe_new_118a.bmp,,,3
4,2.0,2,2.881999969482422,test,1,m,45218.0,cashmoney,27118.000030517578,m,659,,2.0,no,5661.70000000298,39556.29999999702,pipe_new_062a.bmp,pipe_new_063a.bmp,,,4
5,2.0,2,3.749000072479248,test,1,z,46084.39999999851,cashmoney,26250.999927520752,z,857,,3.0,yes,6528.10000000149,39556.29999999702,pipe_new_064a.bmp,pipe_new_064a.bmp,,,5
6,2.0,2,4.514999866485596,test,1,z,46850.79999999702,cashmoney,25485.000133514404,z,759,,33.0,yes,7294.5,39556.29999999702,pipe_new_109a.bmp,pipe_new_109a.bmp,,,6
7,2.0,2,5.181999921798706,test,1,m,47517.39999999851,cashmoney,24818.000078201294,m,656,,18.0,no,7961.10000000149,39556.29999999702,pipe_new_086a.bmp,pipe_new_087a.bmp,,,7
8,2.0,2,5.832000017166138,test,1,z,48167.29999999702,cashmoney,24167.999982833862,z,638,,29.0,yes,8611.0,39556.29999999702,pipe_new_103a.bmp,pipe_new_103a.bmp,,,8
9,2.0,2,6.480999946594238,test,1,z,48817.10000000149,cashmoney,23519.00005340576,z,644,,19.0,yes,9260.80000000447,39556.29999999702,pipe_new_088a.bmp,pipe_new_088a.bmp,,,9
10,2.0,2,7.080999851226807,test,1,m,49417.10000000149,cashmoney,22919.000148773193,m,594,,26.0,no,9860.80000000447,39556.29999999702,pipe_new_098a.bmp,pipe_new_099a.bmp,,,10
11,2.0,2,7.830999851226807,test,1,m,50166.79999999702,cashmoney,22169.000148773193,m,738,,30.0,no,10610.5,39556.29999999702,pipe_new_104a.bmp,pipe_new_105a.bmp,,,11
12,2.0,2,8.664000034332275,test,1,m,50999.89999999851,cashmoney,21335.999965667725,m,820,,22.0,no,11443.60000000149,39556.29999999702,pipe_new_092a.bmp,pipe_new_093a.bmp,,,12
13,2.0,2,9.180999994277954,test,1,m,51516.19999999553,cashmoney,20819.000005722046,m,508,,20.0,no,11959.89999999851,39556.29999999702,pipe_new_089a.bmp,pipe_new_090a.bmp,,,13
14,2.0,2,9.647000074386597,test,1,m,51982.89999999851,cashmoney,20352.999925613403,m,455,,8.0,no,12426.60000000149,39556.29999999702,pipe_new_071a.bmp,pipe_new_072a.bmp,,,14
15,2.0,2,10.246999979019165,test,1,z,52582.5,cashmoney,19753.000020980835,z,589,,1.0,yes,13026.20000000298,39556.29999999702,pipe_new_061a.bmp,pipe_new_061a.bmp,,,15
16,2.0,2,10.863999843597412,test,1,z,53199.19999999553,cashmoney,19136.000156402588,z,605,,25.0,yes,13642.89999999851,39556.29999999702,pipe_new_097a.bmp,pipe_new_097a.bmp,,,16
17,2.0,2,11.430000066757202,test,1,m,53765.5,cashmoney,18569.999933242798,m,556,,14.0,no,14209.20000000298,39556.29999999702,pipe_new_080a.bmp,pipe_new_081a.bmp,,,17
18,2.0,2,12.19599986076355,test,1,m,54532.10000000149,cashmoney,17804.00013923645,m,750,,12.0,no,14975.80000000447,39556.29999999702,pipe_new_077a.bmp,pipe_new_078a.bmp,,,18
19,2.0,2,12.845999956130981,test,1,m,55181.5,cashmoney,17154.00004386902,m,631,,24.0,no,15625.20000000298,39556.29999999702,pipe_new_095a.bmp,pipe_new_096a.bmp,,,19
20,2.0,2,13.496000051498413,test,1,m,55831.5,cashmoney,16503.999948501587,m,646,,4.0,no,16275.20000000298,39556.29999999702,pipe_new_065a.bmp,pipe_new_066a.bmp,,,20
21,2.0,2,14.062000036239624,test,1,m,56398.0,cashmoney,15937.999963760376,m,556,,36.0,no,16841.70000000298,39556.29999999702,pipe_new_113a.bmp,pipe_new_114a.bmp,,,21
22,2.0,2,14.595999956130981,test,1,z,56931.29999999702,cashmoney,15404.000043869019,z,525,,31.0,yes,17375.0,39556.29999999702,pipe_new_106a.bmp,pipe_new_106a.bmp,,,22
