 acc_mean  block  block_c  block_dur condition   correct correct_response  endtime multichar_response    resp_time response  response_time response_time_practice_response  row_sel same  start_end  starttime             stim1             stim2 subject_id time_practice  trial
        0    NaN        0      0.000      None undefined             None      NaN          cashmoney 30000.000000    enter            277                            None      NaN None        NaN        NaN              None              None       None          None      0
        1    1.0        1      0.700      test         1                m  12362.1          cashmoney 29299.999952        m            693                            None     24.0   no      697.0    11665.1 pipe_new_035a.bmp pipe_new_036a.bmp       None          None      1
        2    1.0        1      1.233      test         1                m  12895.1          cashmoney 28766.999960        m            512                            None      2.0   no      529.2    12365.9 pipe_new_002a.bmp pipe_new_003a.bmp       None          None      2
        3    1.0        1      1.899      test         1                z  13561.6          cashmoney 28100.999832        z            660                            None     27.0  yes      663.4    12898.2 pipe_new_040a.bmp pipe_new_040a.bmp       None          None      3
        4    1.0        1      2.533      test         1                z  14194.8          cashmoney 27467.000008        z            618                            None     35.0  yes      630.4    13564.4 pipe_new_052a.bmp pipe_new_052a.bmp       None          None      4
        5    1.0        1      3.099      test         1                z  14761.1          cashmoney 26901.000023        z            552                            None      1.0  yes      563.2    14197.9 pipe_new_001a.bmp pipe_new_001a.bmp       None          None      5
        6    1.0        1      3.715      test         1                z  15377.6          cashmoney 26284.999847        z            602                            None     19.0  yes      613.5    14764.1 pipe_new_028a.bmp pipe_new_028a.bmp       None          None      6
        7    1.0        1      4.215      test         1                z  15877.5          cashmoney 25784.999847        z            490                            None     39.0  yes      496.9    15380.6 pipe_new_058a.bmp pipe_new_058a.bmp       None          None      7
        8    1.0        1      4.732      test         1                m  16393.8          cashmoney 25267.999887        m            510                            None     36.0   no      513.3    15880.5 pipe_new_053a.bmp pipe_new_054a.bmp       None          None      8
        9    1.0        1      5.465      test         1                m  17127.0          cashmoney 24534.999847        m            713                            None     32.0   no      730.2    16396.8 pipe_new_047a.bmp pipe_new_048a.bmp       None          None      9
       10    1.0        1      6.248      test         1                z  17910.2          cashmoney 23751.999855        z            772                            None     33.0  yes      780.2    17130.0 pipe_new_049a.bmp pipe_new_049a.bmp       None          None     10
       11    1.0        1      6.931      test         1                m  18593.4          cashmoney 23069.000006        m            669                            None     28.0   no      680.5    17912.9 pipe_new_041a.bmp pipe_new_042a.bmp       None          None     11
       12    1.0        1      7.631      test         1                m  19292.9          cashmoney 22368.999958        m            690                            None     16.0   no      696.6    18596.3 pipe_new_023a.bmp pipe_new_024a.bmp       None          None     12
       13    1.0        1      8.181      test         1                z  19842.7          cashmoney 21819.000006        z            535                            None     37.0  yes      547.0    19295.7 pipe_new_055a.bmp pipe_new_055a.bmp       None          None     13
       14    1.0        1      9.014      test         1                z  20675.8          cashmoney 20985.999823        z            825                            None     15.0  yes      830.0    19845.8 pipe_new_022a.bmp pipe_new_022a.bmp       None          None     14
       15    1.0        1      9.597      test         1                m  21259.0          cashmoney 20402.999878        m            576                            None      8.0   no      580.5    20678.5 pipe_new_011a.bmp pipe_new_012a.bmp       None          None     15
