acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,ct,30000.0,enter,1741,,,,,,,,,,0
1,1.0,1,3.2130000591278076,test,1,z,70697.40000000224,ct,26786.999940872192,z,3204,,15.0,yes,3207.5,67489.90000000224,pipe_new_022a.bmp,pipe_new_022a.bmp,,,1
2,1.0,1,6.200000047683716,test,1,z,73684.40000000224,ct,23799.999952316284,z,2967,,13.0,yes,2981.5,70702.90000000224,pipe_new_019a.bmp,pipe_new_019a.bmp,,,2
3,1.0,1,8.653000116348267,test,1,z,76137.10000000149,ct,21346.999883651733,z,2445,,11.0,yes,2448.0,73689.10000000149,pipe_new_016a.bmp,pipe_new_016a.bmp,,,3
4,1.0,1,10.812999963760376,test,1,m,78297.10000000149,ct,19187.000036239624,m,2153,,22.0,no,2155.300000000745,76141.80000000075,pipe_new_032a.bmp,pipe_new_033a.bmp,,,4
5,1.0,1,12.132999897003174,test,1,m,79617.10000000149,ct,17867.000102996826,m,1303,,30.0,no,1314.5,78302.60000000149,pipe_new_044a.bmp,pipe_new_045a.bmp,,,5
6,1.0,1,13.413000106811523,test,1,m,80897.10000000149,ct,16586.999893188477,m,1263,,32.0,no,1274.8999999985099,79622.20000000298,pipe_new_047a.bmp,pipe_new_048a.bmp,,,6
7,1.0,1,15.0,test,1,z,82483.80000000075,ct,15000.0,z,1567,,29.0,yes,1581.199999999255,80902.60000000149,pipe_new_043a.bmp,pipe_new_043a.bmp,,,7
8,1.0,1,16.06599998474121,test,1,m,83550.40000000224,ct,13934.000015258789,m,1053,,18.0,no,1061.1000000014901,82489.30000000075,pipe_new_026a.bmp,pipe_new_027a.bmp,,,8
9,1.0,1,17.092999935150146,test,1,m,84576.80000000075,ct,12907.000064849854,m,1010,,20.0,no,1021.8000000007451,83555.0,pipe_new_029a.bmp,pipe_new_030a.bmp,,,9
