 acc_mean  block  block_c  block_dur condition   correct correct_response  endtime multichar_response    resp_time response  response_time response_time_practice_response  row_sel same  start_end  starttime             stim1             stim2 subject_id time_practice  trial
        0    NaN        0      0.000      None undefined             None      NaN                 ct 30000.000000    enter           1741                            None      NaN None        NaN        NaN              None              None       None          None      0
        1    1.0        1      3.213      test         1                z  70697.4                 ct 26786.999941        z           3204                            None     15.0  yes     3207.5    67489.9 pipe_new_022a.bmp pipe_new_022a.bmp       None          None      1
        2    1.0        1      6.200      test         1                z  73684.4                 ct 23799.999952        z           2967                            None     13.0  yes     2981.5    70702.9 pipe_new_019a.bmp pipe_new_019a.bmp       None          None      2
        3    1.0        1      8.653      test         1                z  76137.1                 ct 21346.999884        z           2445                            None     11.0  yes     2448.0    73689.1 pipe_new_016a.bmp pipe_new_016a.bmp       None          None      3
        4    1.0        1     10.813      test         1                m  78297.1                 ct 19187.000036        m           2153                            None     22.0   no     2155.3    76141.8 pipe_new_032a.bmp pipe_new_033a.bmp       None          None      4
        5    1.0        1     12.133      test         1                m  79617.1                 ct 17867.000103        m           1303                            None     30.0   no     1314.5    78302.6 pipe_new_044a.bmp pipe_new_045a.bmp       None          None      5
        6    1.0        1     13.413      test         1                m  80897.1                 ct 16586.999893        m           1263                            None     32.0   no     1274.9    79622.2 pipe_new_047a.bmp pipe_new_048a.bmp       None          None      6
        7    1.0        1     15.000      test         1                z  82483.8                 ct 15000.000000        z           1567                            None     29.0  yes     1581.2    80902.6 pipe_new_043a.bmp pipe_new_043a.bmp       None          None      7
        8    1.0        1     16.066      test         1                m  83550.4                 ct 13934.000015        m           1053                            None     18.0   no     1061.1    82489.3 pipe_new_026a.bmp pipe_new_027a.bmp       None          None      8
        9    1.0        1     17.093      test         1                m  84576.8                 ct 12907.000065        m           1010                            None     20.0   no     1021.8    83555.0 pipe_new_029a.bmp pipe_new_030a.bmp       None          None      9
       10    1.0        1     17.893      test         1                z  85377.1                 ct 12106.999874        z            784                            None     39.0  yes      795.2    84581.9 pipe_new_058a.bmp pipe_new_058a.bmp       None          None     10
       11    1.0        1     18.973      test         1                z  86456.8                 ct 11026.999950        z           1072                            None     33.0  yes     1074.4    85382.4 pipe_new_049a.bmp pipe_new_049a.bmp       None          None     11
       11    1.0        1     20.293      test         0                z  87776.9                 ct  9707.000017        m           1305                            None     19.0  yes     1315.5    86461.4 pipe_new_028a.bmp pipe_new_028a.bmp       None          None     12
       12    1.0        1     21.813      test         1                z  89296.9                 ct  8187.000036        z           1504                            None      1.0  yes     1514.8    87782.1 pipe_new_001a.bmp pipe_new_001a.bmp       None          None     13
       13    1.0        1     23.026      test         1                z  90510.1                 ct  6973.999977        z           1201                            None     17.0  yes     1208.8    89301.3 pipe_new_025a.bmp pipe_new_025a.bmp       None          None     14
       14    1.0        1     24.066      test         1                m  91550.0                 ct  5934.000015        m           1026                            None     36.0   no     1034.7    90515.3 pipe_new_053a.bmp pipe_new_054a.bmp       None          None     15
       15    1.0        1     25.053      test         1                z  92536.7                 ct  4947.000027        z            979                            None      9.0  yes      982.8    91553.9 pipe_new_013a.bmp pipe_new_013a.bmp       None          None     16
       16    1.0        1     25.919      test         1                m  93403.2                 ct  4081.000090        m            857                            None     40.0   no      862.8    92540.4 pipe_new_059a.bmp pipe_new_060a.bmp       None          None     17
       17    1.0        1     26.719      test         1                m  94203.2                 ct  3280.999899        m            789                            None     26.0   no      795.1    93408.1 pipe_new_038a.bmp pipe_new_039a.bmp       None          None     18
