acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,dm,30000.0,enter,685,,,,,,,,,,0
0,1.0,1,4.7200000286102295,test,0,z,74547.10000000149,dm,25279.99997138977,m,4702,,31.0,yes,4714.199999999255,69832.90000000224,pipe_new_046a.bmp,pipe_new_046a.bmp,,,1
1,1.0,1,7.200000047683716,test,1,m,77027.19999999925,dm,22799.999952316284,m,2462,,34.0,no,2474.5,74552.69999999925,pipe_new_050a.bmp,pipe_new_051a.bmp,,,2
2,1.0,1,8.266999959945679,test,1,z,78093.30000000075,dm,21733.00004005432,z,1055,,11.0,yes,1061.5,77031.80000000075,pipe_new_016a.bmp,pipe_new_016a.bmp,,,3
3,1.0,1,9.306999921798706,test,1,z,79133.19999999925,dm,20693.000078201294,z,1030,,19.0,yes,1036.3999999985099,78096.80000000075,pipe_new_028a.bmp,pipe_new_028a.bmp,,,4
4,1.0,1,11.266000032424927,test,1,z,81093.19999999925,dm,18733.999967575073,z,1943,,9.0,yes,1956.7999999970198,79136.40000000224,pipe_new_013a.bmp,pipe_new_013a.bmp,,,5
5,1.0,1,12.440000057220459,test,1,m,82266.60000000149,dm,17559.99994277954,m,1164,,14.0,no,1168.4000000022352,81098.19999999925,pipe_new_020a.bmp,pipe_new_021a.bmp,,,6
6,1.0,1,13.426000118255615,test,1,m,83253.10000000149,dm,16573.999881744385,m,967,,8.0,no,981.4000000022352,82271.69999999925,pipe_new_011a.bmp,pipe_new_012a.bmp,,,7
7,1.0,1,14.400000095367432,test,1,m,84226.60000000149,dm,15599.999904632568,m,956,,6.0,no,968.0,83258.60000000149,pipe_new_008a.bmp,pipe_new_009a.bmp,,,8
8,1.0,1,15.385999917984009,test,1,z,85213.10000000149,dm,14614.000082015991,z,975,,3.0,yes,980.6000000014901,84232.5,pipe_new_004a.bmp,pipe_new_004a.bmp,,,9
9,1.0,1,17.426000118255615,test,1,m,87253.10000000149,dm,12573.999881744385,m,2020,,30.0,no,2034.699999999255,85218.40000000224,pipe_new_044a.bmp,pipe_new_045a.bmp,,,10
10,1.0,1,18.493000030517578,test,1,m,88319.80000000075,dm,11506.999969482422,m,1052,,4.0,no,1061.6000000014901,87258.19999999925,pipe_new_005a.bmp,pipe_new_006a.bmp,,,11
11,1.0,1,19.77300000190735,test,1,z,89599.60000000149,dm,10226.999998092651,z,1266,,37.0,yes,1274.6000000014901,88325.0,pipe_new_055a.bmp,pipe_new_055a.bmp,,,12
12,1.0,1,21.200000047683716,test,1,z,91026.40000000224,dm,8799.999952316284,z,1411,,25.0,yes,1422.1000000014901,89604.30000000075,pipe_new_037a.bmp,pipe_new_037a.bmp,,,13
13,1.0,1,22.27900004386902,test,1,m,92106.10000000149,dm,7720.999956130981,m,1071,,38.0,no,1074.4000000022352,91031.69999999925,pipe_new_056a.bmp,pipe_new_057a.bmp,,,14
14,1.0,1,23.23900008201599,test,1,m,93066.10000000149,dm,6760.999917984009,m,952,,24.0,no,954.9000000022352,92111.19999999925,pipe_new_035a.bmp,pipe_new_036a.bmp,,,15
15,1.0,1,24.44000005722046,test,1,z,94266.60000000149,dm,5559.999942779541,z,1192,,17.0,yes,1195.699999999255,93070.90000000224,pipe_new_025a.bmp,pipe_new_025a.bmp,,,16
15,1.0,1,25.51900005340576,test,0,z,95346.10000000149,dm,4480.999946594238,m,1064,,1.0,yes,1074.800000000745,94271.30000000075,pipe_new_001a.bmp,pipe_new_001a.bmp,,,17
16,1.0,1,26.719000101089478,test,1,z,96546.10000000149,dm,3280.9998989105225,z,1184,,7.0,yes,1194.699999999255,95351.40000000224,pipe_new_010a.bmp,pipe_new_010a.bmp,,,18
17,1.0,1,28.17300009727478,test,1,m,97999.40000000224,dm,1826.9999027252197,m,1438,,12.0,no,1448.0,96551.40000000224,pipe_new_017a.bmp,pipe_new_018a.bmp,,,19
18,1.0,1,29.11899995803833,test,1,z,98946.0,dm,881.0000419616699,z,932,,35.0,yes,942.8000000007451,98003.19999999925,pipe_new_052a.bmp,pipe_new_052a.bmp,,,20
18,1.0,1,30.013000011444092,test,0,m,99839.60000000149,dm,-13.000011444091797,None,885,,40.0,no,888.6000000014901,98951.0,pipe_new_059a.bmp,pipe_new_060a.bmp,,,21
1,2.0,2,1.2000000476837158,test,1,m,107612.5,dm,28799.999952316284,m,1189,,38.0,no,8661.5,98951.0,pipe_new_116a.bmp,pipe_new_117a.bmp,,,1
2,2.0,2,2.065999984741211,test,1,z,108479.0,dm,27934.00001525879,z,853,,15.0,yes,9528.0,98951.0,pipe_new_082a.bmp,pipe_new_082a.bmp,,,2
3,2.0,2,2.8530001640319824,test,1,m,109265.80000000075,dm,27146.999835968018,m,770,,6.0,no,10314.800000000745,98951.0,pipe_new_068a.bmp,pipe_new_069a.bmp,,,3
4,2.0,2,3.693000078201294,test,1,z,110105.5,dm,26306.999921798706,z,832,,11.0,yes,11154.5,98951.0,pipe_new_076a.bmp,pipe_new_076a.bmp,,,4
5,2.0,2,4.638999938964844,test,1,z,111052.30000000075,dm,25361.000061035156,z,937,,13.0,yes,12101.300000000745,98951.0,pipe_new_079a.bmp,pipe_new_079a.bmp,,,5
6,2.0,2,5.519000053405762,test,1,z,111932.19999999925,dm,24480.99994659424,z,870,,39.0,yes,12981.199999999255,98951.0,pipe_new_118a.bmp,pipe_new_118a.bmp,,,6
7,2.0,2,6.33299994468689,test,1,z,112745.5,dm,23667.00005531311,z,806,,31.0,yes,13794.5,98951.0,pipe_new_106a.bmp,pipe_new_106a.bmp,,,7
8,2.0,2,7.1590001583099365,test,1,m,113572.19999999925,dm,22840.999841690063,m,807,,16.0,no,14621.199999999255,98951.0,pipe_new_083a.bmp,pipe_new_084a.bmp,,,8
9,2.0,2,8.358999967575073,test,1,z,114772.10000000149,dm,21641.000032424927,z,1183,,7.0,yes,15821.10000000149,98951.0,pipe_new_070a.bmp,pipe_new_070a.bmp,,,9
10,2.0,2,9.17300009727478,test,1,z,115585.69999999925,dm,20826.99990272522,z,798,,27.0,yes,16634.699999999255,98951.0,pipe_new_100a.bmp,pipe_new_100a.bmp,,,10
11,2.0,2,10.078999996185303,test,1,m,116492.19999999925,dm,19921.000003814697,m,895,,26.0,no,17541.199999999255,98951.0,pipe_new_098a.bmp,pipe_new_099a.bmp,,,11
12,2.0,2,11.093000173568726,test,1,z,117505.90000000224,dm,18906.999826431274,z,991,,3.0,yes,18554.900000002235,98951.0,pipe_new_064a.bmp,pipe_new_064a.bmp,,,12
13,2.0,2,12.78600001335144,test,1,m,119198.60000000149,dm,17213.99998664856,m,1678,,12.0,no,20247.60000000149,98951.0,pipe_new_077a.bmp,pipe_new_078a.bmp,,,13
14,2.0,2,13.733000040054321,test,1,z,120145.40000000224,dm,16266.999959945679,z,934,,23.0,yes,21194.400000002235,98951.0,pipe_new_094a.bmp,pipe_new_094a.bmp,,,14
15,2.0,2,14.519000053405762,test,1,z,120932.0,dm,15480.999946594238,z,768,,5.0,yes,21981.0,98951.0,pipe_new_067a.bmp,pipe_new_067a.bmp,,,15
16,2.0,2,15.33299994468689,test,1,z,121745.69999999925,dm,14667.00005531311,z,798,,29.0,yes,22794.699999999255,98951.0,pipe_new_103a.bmp,pipe_new_103a.bmp,,,16
17,2.0,2,16.199000120162964,test,1,z,122611.90000000224,dm,13800.999879837036,z,848,,35.0,yes,23660.900000002235,98951.0,pipe_new_112a.bmp,pipe_new_112a.bmp,,,17
18,2.0,2,17.12000012397766,test,1,m,123532.30000000075,dm,12879.999876022339,m,910,,10.0,no,24581.300000000745,98951.0,pipe_new_074a.bmp,pipe_new_075a.bmp,,,18
19,2.0,2,17.999000072479248,test,1,z,124411.69999999925,dm,12000.999927520752,z,870,,25.0,yes,25460.699999999255,98951.0,pipe_new_097a.bmp,pipe_new_097a.bmp,,,19
20,2.0,2,18.878999948501587,test,1,m,125291.69999999925,dm,11121.000051498413,m,870,,28.0,no,26340.699999999255,98951.0,pipe_new_101a.bmp,pipe_new_102a.bmp,,,20
20,2.0,2,20.133000135421753,test,0,m,126545.69999999925,dm,9866.999864578247,z,1239,,30.0,no,27594.699999999255,98951.0,pipe_new_104a.bmp,pipe_new_105a.bmp,,,21
21,2.0,2,21.799000024795532,test,1,m,128211.69999999925,dm,8200.999975204468,m,1647,,22.0,no,29260.699999999255,98951.0,pipe_new_092a.bmp,pipe_new_093a.bmp,,,22
22,2.0,2,22.466000080108643,test,1,m,128878.30000000075,dm,7533.999919891357,m,655,,20.0,no,29927.300000000745,98951.0,pipe_new_089a.bmp,pipe_new_090a.bmp,,,23
23,2.0,2,23.27900004386902,test,1,z,129691.69999999925,dm,6720.999956130981,z,804,,33.0,yes,30740.699999999255,98951.0,pipe_new_109a.bmp,pipe_new_109a.bmp,,,24
24,2.0,2,25.039999961853027,test,1,m,131452.5,dm,4960.000038146973,m,1747,,14.0,no,32501.5,98951.0,pipe_new_080a.bmp,pipe_new_081a.bmp,,,25
25,2.0,2,26.01200008392334,test,1,m,132425.19999999925,dm,3987.99991607666,m,966,,32.0,no,33474.199999999255,98951.0,pipe_new_107a.bmp,pipe_new_108a.bmp,,,26
26,2.0,2,26.85199999809265,test,1,m,133264.90000000224,dm,3148.0000019073486,m,824,,18.0,no,34313.900000002235,98951.0,pipe_new_086a.bmp,pipe_new_087a.bmp,,,27
27,2.0,2,27.78500008583069,test,1,m,134198.19999999925,dm,2214.9999141693115,m,911,,4.0,no,35247.199999999255,98951.0,pipe_new_065a.bmp,pipe_new_066a.bmp,,,28
28,2.0,2,28.74500012397766,test,1,m,135158.19999999925,dm,1254.9998760223389,m,939,,8.0,no,36207.199999999255,98951.0,pipe_new_071a.bmp,pipe_new_072a.bmp,,,29
29,2.0,2,29.653000116348267,test,1,m,136065.6000000015,dm,346.9998836517334,m,891,,34.0,no,37114.60000000149,98951.0,pipe_new_110a.bmp,pipe_new_111a.bmp,,,30
29,2.0,2,30.01200008392334,test,0,z,136424.90000000224,dm,-12.000083923339844,None,353,,9.0,yes,37473.900000002235,98951.0,pipe_new_073a.bmp,pipe_new_073a.bmp,,,31
