acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,ena,30000.0,enter,2211,,,,,,,,,,0
1,1.0,1,2.493000030517578,test,1,m,64328.89999999851,ena,27506.999969482422,m,2476,,16.0,no,2487.39999999851,61841.5,pipe_new_023a.bmp,pipe_new_024a.bmp,,,1
2,1.0,1,4.3460001945495605,test,1,z,66182.19999999925,ena,25653.99980545044,z,1839,,35.0,yes,1847.699999999255,64334.5,pipe_new_052a.bmp,pipe_new_052a.bmp,,,2
3,1.0,1,5.919000148773193,test,1,m,67755.19999999925,ena,24080.999851226807,m,1553,,18.0,no,1567.800000000745,66187.39999999851,pipe_new_026a.bmp,pipe_new_027a.bmp,,,3
4,1.0,1,8.17300009727478,test,1,z,70008.59999999776,ena,21826.99990272522,z,2237,,21.0,yes,2248.2999999970198,67760.30000000075,pipe_new_031a.bmp,pipe_new_031a.bmp,,,4
4,1.0,1,10.426000118255615,test,0,z,72261.80000000075,ena,19573.999881744385,m,2239,,39.0,yes,2248.0,70013.80000000075,pipe_new_058a.bmp,pipe_new_058a.bmp,,,5
5,1.0,1,17.372000217437744,test,1,z,79208.39999999851,ena,12627.999782562256,z,6930,,11.0,yes,6941.5,72266.89999999851,pipe_new_016a.bmp,pipe_new_016a.bmp,,,6
6,1.0,1,19.652000188827515,test,1,z,81488.09999999776,ena,10347.999811172485,z,2271,,7.0,yes,2274.5,79213.59999999776,pipe_new_010a.bmp,pipe_new_010a.bmp,,,7
7,1.0,1,21.73200011253357,test,1,m,83567.89999999851,ena,8267.99988746643,m,2073,,38.0,no,2075.800000000745,81492.09999999776,pipe_new_056a.bmp,pipe_new_057a.bmp,,,8
8,1.0,1,27.39900016784668,test,1,m,89235.0,ena,2600.9998321533203,m,5657,,14.0,no,5662.300000000745,83572.69999999925,pipe_new_020a.bmp,pipe_new_021a.bmp,,,9
8,1.0,1,30.01200008392334,test,0,m,91848.30000000075,ena,-12.000083923339844,None,2605,,10.0,no,2607.5,89240.80000000075,pipe_new_014a.bmp,pipe_new_015a.bmp,,,10
1,2.0,2,5.947000026702881,test,1,m,102354.89999999851,ena,24052.99997329712,m,5936,,28.0,no,13114.099999997765,89240.80000000075,pipe_new_101a.bmp,pipe_new_102a.bmp,,,1
2,2.0,2,9.05299997329712,test,1,m,105460.59999999776,ena,20947.00002670288,m,3092,,18.0,no,16219.79999999702,89240.80000000075,pipe_new_086a.bmp,pipe_new_087a.bmp,,,2
3,2.0,2,10.559000015258789,test,1,z,106967.30000000075,ena,19440.99998474121,z,1492,,19.0,yes,17726.5,89240.80000000075,pipe_new_088a.bmp,pipe_new_088a.bmp,,,3
3,2.0,2,11.305999994277954,test,0,z,107714.0,ena,18694.000005722046,m,735,,25.0,yes,18473.199999999255,89240.80000000075,pipe_new_097a.bmp,pipe_new_097a.bmp,,,4
4,2.0,2,14.333000183105469,test,1,z,110740.5,ena,15666.999816894531,z,3014,,11.0,yes,21499.699999999255,89240.80000000075,pipe_new_076a.bmp,pipe_new_076a.bmp,,,5
5,2.0,2,16.55900001525879,test,1,z,112967.0,ena,13440.999984741211,z,2213,,13.0,yes,23726.199999999255,89240.80000000075,pipe_new_079a.bmp,pipe_new_079a.bmp,,,6
6,2.0,2,17.960000038146973,test,1,z,114367.59999999776,ena,12039.999961853027,z,1393,,15.0,yes,25126.79999999702,89240.80000000075,pipe_new_082a.bmp,pipe_new_082a.bmp,,,7
7,2.0,2,19.94700002670288,test,1,m,116354.39999999851,ena,10052.99997329712,m,1975,,2.0,no,27113.599999997765,89240.80000000075,pipe_new_062a.bmp,pipe_new_063a.bmp,,,8
8,2.0,2,21.240000009536743,test,1,z,117647.69999999925,ena,8759.999990463257,z,1287,,31.0,yes,28406.89999999851,89240.80000000075,pipe_new_106a.bmp,pipe_new_106a.bmp,,,9
9,2.0,2,24.95900011062622,test,1,z,121366.80000000075,ena,5040.999889373779,z,3705,,21.0,yes,32126.0,89240.80000000075,pipe_new_091a.bmp,pipe_new_091a.bmp,,,10
10,2.0,2,27.586000204086304,test,1,z,123993.5,ena,2413.9997959136963,z,2608,,27.0,yes,34752.699999999255,89240.80000000075,pipe_new_100a.bmp,pipe_new_100a.bmp,,,11
10,2.0,2,30.01200008392334,test,0,m,126420.09999999776,ena,-12.000083923339844,None,2418,,4.0,no,37179.29999999702,89240.80000000075,pipe_new_065a.bmp,pipe_new_066a.bmp,,,12
