acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,hc,30000.0,enter,2098,,,,,,,,,,0
1,1.0,1,0.8519999980926514,test,1,m,47006.299999952316,hc,29148.00000190735,m,830,,26.0,no,842.3999998569489,46163.90000009537,pipe_new_038a.bmp,pipe_new_039a.bmp,,,1
2,1.0,1,1.8020000457763672,test,1,m,47955.5,hc,28197.999954223633,m,925,,38.0,no,941.0999999046326,47014.40000009537,pipe_new_056a.bmp,pipe_new_057a.bmp,,,2
3,1.0,1,2.453000068664551,test,1,z,48607.0,hc,27546.99993133545,z,633,,21.0,yes,645.0,47962.0,pipe_new_031a.bmp,pipe_new_031a.bmp,,,3
4,1.0,1,3.3359999656677246,test,1,z,49489.700000047684,hc,26664.000034332275,z,860,,1.0,yes,875.1000001430511,48614.59999990463,pipe_new_001a.bmp,pipe_new_001a.bmp,,,4
5,1.0,1,4.021000146865845,test,1,z,50174.59999990463,hc,25978.999853134155,z,674,,13.0,yes,677.1999998092651,49497.40000009537,pipe_new_019a.bmp,pipe_new_019a.bmp,,,5
6,1.0,1,4.855000019073486,test,1,z,51008.40000009537,hc,25144.999980926514,z,816,,23.0,yes,826.9000000953674,50181.5,pipe_new_034a.bmp,pipe_new_034a.bmp,,,6
7,1.0,1,5.439000129699707,test,1,m,51592.700000047684,hc,24560.999870300293,m,572,,18.0,no,578.7000000476837,51014.0,pipe_new_026a.bmp,pipe_new_027a.bmp,,,7
8,1.0,1,6.106000185012817,test,1,m,52259.700000047684,hc,23893.999814987183,m,650,,10.0,no,659.2000000476837,51600.5,pipe_new_014a.bmp,pipe_new_015a.bmp,,,8
9,1.0,1,6.672000169754028,test,1,m,52826.0,hc,23327.99983024597,m,553,,2.0,no,560.0999999046326,52265.90000009537,pipe_new_002a.bmp,pipe_new_003a.bmp,,,9
10,1.0,1,7.371999979019165,test,1,z,53525.799999952316,hc,22628.000020980835,z,691,,11.0,yes,693.7000000476837,52832.09999990463,pipe_new_016a.bmp,pipe_new_016a.bmp,,,10
10,1.0,1,7.940000057220459,test,0,z,54093.90000009537,hc,22059.99994277954,m,550,,19.0,yes,561.1000001430511,53532.799999952316,pipe_new_028a.bmp,pipe_new_028a.bmp,,,11
11,1.0,1,9.057000160217285,test,1,z,55210.90000009537,hc,20942.999839782715,z,1102,,15.0,yes,1110.2000000476837,54100.700000047684,pipe_new_022a.bmp,pipe_new_022a.bmp,,,12
12,1.0,1,9.624000072479248,test,1,z,55778.0,hc,20375.999927520752,z,549,,5.0,yes,563.7999999523163,55214.200000047684,pipe_new_007a.bmp,pipe_new_007a.bmp,,,13
