 acc_mean  block  block_c  block_dur condition   correct correct_response  endtime multichar_response    resp_time response  response_time response_time_practice_response  row_sel same  start_end  starttime             stim1             stim2 subject_id time_practice  trial
        0    NaN        0      0.000      None undefined             None      NaN                 hc 30000.000000    enter           2098                            None      NaN None        NaN        NaN              None              None       None          None      0
        1    1.0        1      0.852      test         1                m  47006.3                 hc 29148.000002        m            830                            None     26.0   no      842.4    46163.9 pipe_new_038a.bmp pipe_new_039a.bmp       None          None      1
        2    1.0        1      1.802      test         1                m  47955.5                 hc 28197.999954        m            925                            None     38.0   no      941.1    47014.4 pipe_new_056a.bmp pipe_new_057a.bmp       None          None      2
        3    1.0        1      2.453      test         1                z  48607.0                 hc 27546.999931        z            633                            None     21.0  yes      645.0    47962.0 pipe_new_031a.bmp pipe_new_031a.bmp       None          None      3
        4    1.0        1      3.336      test         1                z  49489.7                 hc 26664.000034        z            860                            None      1.0  yes      875.1    48614.6 pipe_new_001a.bmp pipe_new_001a.bmp       None          None      4
        5    1.0        1      4.021      test         1                z  50174.6                 hc 25978.999853        z            674                            None     13.0  yes      677.2    49497.4 pipe_new_019a.bmp pipe_new_019a.bmp       None          None      5
        6    1.0        1      4.855      test         1                z  51008.4                 hc 25144.999981        z            816                            None     23.0  yes      826.9    50181.5 pipe_new_034a.bmp pipe_new_034a.bmp       None          None      6
        7    1.0        1      5.439      test         1                m  51592.7                 hc 24560.999870        m            572                            None     18.0   no      578.7    51014.0 pipe_new_026a.bmp pipe_new_027a.bmp       None          None      7
        8    1.0        1      6.106      test         1                m  52259.7                 hc 23893.999815        m            650                            None     10.0   no      659.2    51600.5 pipe_new_014a.bmp pipe_new_015a.bmp       None          None      8
        9    1.0        1      6.672      test         1                m  52826.0                 hc 23327.999830        m            553                            None      2.0   no      560.1    52265.9 pipe_new_002a.bmp pipe_new_003a.bmp       None          None      9
       10    1.0        1      7.372      test         1                z  53525.8                 hc 22628.000021        z            691                            None     11.0  yes      693.7    52832.1 pipe_new_016a.bmp pipe_new_016a.bmp       None          None     10
       10    1.0        1      7.940      test         0                z  54093.9                 hc 22059.999943        m            550                            None     19.0  yes      561.1    53532.8 pipe_new_028a.bmp pipe_new_028a.bmp       None          None     11
       11    1.0        1      9.057      test         1                z  55210.9                 hc 20942.999840        z           1102                            None     15.0  yes     1110.2    54100.7 pipe_new_022a.bmp pipe_new_022a.bmp       None          None     12
       12    1.0        1      9.624      test         1                z  55778.0                 hc 20375.999928        z            549                            None      5.0  yes      563.8    55214.2 pipe_new_007a.bmp pipe_new_007a.bmp       None          None     13
       13    1.0        1     10.275      test         1                z  56429.0                 hc 19724.999905        z            628                            None     35.0  yes      646.3    55782.7 pipe_new_052a.bmp pipe_new_052a.bmp       None          None     14
       14    1.0        1     10.842      test         1                m  56995.5                 hc 19157.999992        m            543                            None     20.0   no      559.8    56435.7 pipe_new_029a.bmp pipe_new_030a.bmp       None          None     15
       15    1.0        1     11.659      test         1                z  57813.0                 hc 18340.999842        z            802                            None      9.0  yes      809.1    57003.9 pipe_new_013a.bmp pipe_new_013a.bmp       None          None     16
       16    1.0        1     12.226      test         1                m  58379.8                 hc 17773.999929        m            548                            None      6.0   no      564.0    57815.8 pipe_new_008a.bmp pipe_new_009a.bmp       None          None     17
       17    1.0        1     13.028      test         1                z  59181.4                 hc 16971.999884        z            794                            None     39.0  yes      795.6    58385.8 pipe_new_058a.bmp pipe_new_058a.bmp       None          None     18
       18    1.0        1     13.694      test         1                m  59847.9                 hc 16305.999994        m            646                            None     14.0   no      659.6    59188.3 pipe_new_020a.bmp pipe_new_021a.bmp       None          None     19
       19    1.0        1     14.378      test         1                z  60531.5                 hc 15621.999979        z            661                            None     37.0  yes      677.4    59854.1 pipe_new_055a.bmp pipe_new_055a.bmp       None          None     20
       20    1.0        1     15.045      test         1                z  61197.9                 hc 14954.999924        z            657                            None     25.0  yes      659.6    60538.3 pipe_new_037a.bmp pipe_new_037a.bmp       None          None     21
       21    1.0        1     15.797      test         1                z  61950.0                 hc 14202.999830        z            748                            None     31.0  yes      750.0    61200.0 pipe_new_046a.bmp pipe_new_046a.bmp       None          None     22
       22    1.0        1     16.464      test         1                m  62617.1                 hc 13536.000013        m            645                            None     34.0   no      659.1    61958.0 pipe_new_050a.bmp pipe_new_051a.bmp       None          None     23
       22    1.0        1     17.147      test         0                m  63300.4                 hc 12852.999926        z            659                            None     24.0   no      675.7    62624.7 pipe_new_035a.bmp pipe_new_036a.bmp       None          None     24
       23    1.0        1     17.880      test         1                z  64033.3                 hc 12119.999886        z            710                            None     33.0  yes      726.2    63307.1 pipe_new_049a.bmp pipe_new_049a.bmp       None          None     25
       24    1.0        1     18.533      test         1                m  64685.7                 hc 11467.000008        m            648                            None      4.0   no      650.2    64035.5 pipe_new_005a.bmp pipe_new_006a.bmp       None          None     26
