acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,jan,30000.0,enter,1413,,,,,,,,,,0
1,1.0,1,2.694000005722046,test,1,z,47122.900000002235,jan,27305.999994277954,z,2685,,5.0,yes,2688.2000000029802,44434.699999999255,pipe_new_007a.bmp,pipe_new_007a.bmp,,,1
2,1.0,1,4.6529998779296875,test,1,z,49082.699999999255,jan,25347.000122070312,z,1944,,9.0,yes,1954.199999999255,47128.5,pipe_new_013a.bmp,pipe_new_013a.bmp,,,2
3,1.0,1,7.705999851226807,test,1,z,52135.10000000149,jan,22294.000148773193,z,3039,,37.0,yes,3046.900000002235,49088.199999999255,pipe_new_055a.bmp,pipe_new_055a.bmp,,,3
4,1.0,1,13.532000064849854,test,1,z,57961.400000002235,jan,16467.999935150146,z,5813,,1.0,yes,5821.60000000149,52139.800000000745,pipe_new_001a.bmp,pipe_new_001a.bmp,,,4
5,1.0,1,15.625,test,1,m,60054.699999999255,jan,14375.0,m,2081,,38.0,no,2088.39999999851,57966.300000000745,pipe_new_056a.bmp,pipe_new_057a.bmp,,,5
6,1.0,1,16.73199987411499,test,1,m,61161.400000002235,jan,13268.00012588501,m,1092,,30.0,no,1101.7000000029802,60059.699999999255,pipe_new_044a.bmp,pipe_new_045a.bmp,,,6
7,1.0,1,17.546000003814697,test,1,m,61975.5,jan,12453.999996185303,m,800,,24.0,no,809.0,61166.5,pipe_new_035a.bmp,pipe_new_036a.bmp,,,7
8,1.0,1,19.22499990463257,test,1,z,63654.699999999255,jan,10775.000095367432,z,1666,,27.0,yes,1673.8999999985099,61980.800000000745,pipe_new_040a.bmp,pipe_new_040a.bmp,,,8
9,1.0,1,21.264999866485596,test,1,m,65694.60000000149,jan,8735.000133514404,m,2020,,22.0,no,2035.0,63659.60000000149,pipe_new_032a.bmp,pipe_new_033a.bmp,,,9
10,1.0,1,22.22499990463257,test,1,m,66654.5,jan,7775.000095367432,m,939,,32.0,no,954.8999999985099,65699.60000000149,pipe_new_047a.bmp,pipe_new_048a.bmp,,,10
11,1.0,1,23.18499994277954,test,1,m,67614.69999999925,jan,6815.000057220459,m,940,,36.0,no,955.5,66659.19999999925,pipe_new_053a.bmp,pipe_new_054a.bmp,,,11
12,1.0,1,24.625,test,1,z,69054.5,jan,5375.0,z,1421,,11.0,yes,1435.0999999977648,67619.40000000224,pipe_new_016a.bmp,pipe_new_016a.bmp,,,12
12,1.0,1,26.491999864578247,test,0,z,70921.30000000075,jan,3508.000135421753,m,1851,,19.0,yes,1862.199999999255,69059.10000000149,pipe_new_028a.bmp,pipe_new_028a.bmp,,,13
13,1.0,1,29.638000011444092,test,1,z,74067.5,jan,361.9999885559082,z,3137,,35.0,yes,3140.099999997765,70927.40000000224,pipe_new_052a.bmp,pipe_new_052a.bmp,,,14
13,1.0,1,30.01199984550476,test,0,m,74441.19999999925,jan,-11.999845504760742,None,366,,2.0,no,368.79999999701977,74072.40000000224,pipe_new_002a.bmp,pipe_new_003a.bmp,,,15
1,2.0,2,3.052000045776367,test,1,m,79907.40000000224,jan,26947.999954223633,m,3043,,30.0,no,5835.0,74072.40000000224,pipe_new_104a.bmp,pipe_new_105a.bmp,,,1
2,2.0,2,4.546000003814697,test,1,z,81400.90000000224,jan,25453.999996185303,z,1482,,37.0,yes,7328.5,74072.40000000224,pipe_new_115a.bmp,pipe_new_115a.bmp,,,2
3,2.0,2,5.2790000438690186,test,1,z,82134.0,jan,24720.99995613098,z,720,,23.0,yes,8061.599999997765,74072.40000000224,pipe_new_094a.bmp,pipe_new_094a.bmp,,,3
