acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,jc,30000.0,enter,1792,,,,,,,,,,0
1,1.0,1,2.613999843597412,test,1,m,68313.59999999963,jc,27386.000156402588,m,2595,,26.0,no,2609.5999999996275,65704.0,pipe_new_038a.bmp,pipe_new_039a.bmp,,,1
2,1.0,1,6.079999923706055,test,1,z,71779.90000000037,jc,23920.000076293945,z,3452,,15.0,yes,3460.0,68319.90000000037,pipe_new_022a.bmp,pipe_new_022a.bmp,,,2
3,1.0,1,8.240000009536743,test,1,z,73939.59999999963,jc,21759.999990463257,z,2149,,39.0,yes,2156.2999999988824,71783.30000000075,pipe_new_058a.bmp,pipe_new_058a.bmp,,,3
4,1.0,1,9.879999876022339,test,1,z,75579.70000000112,jc,20120.00012397766,z,1620,,35.0,yes,1635.5,73944.20000000112,pipe_new_052a.bmp,pipe_new_052a.bmp,,,4
5,1.0,1,14.22599983215332,test,1,z,79926.0,jc,15774.00016784668,z,4332,,1.0,yes,4340.4000000003725,75585.59999999963,pipe_new_001a.bmp,pipe_new_001a.bmp,,,5
6,1.0,1,15.27899980545044,test,1,m,80979.30000000075,jc,14721.00019454956,m,1040,,40.0,no,1047.9000000003725,79931.40000000037,pipe_new_059a.bmp,pipe_new_060a.bmp,,,6
7,1.0,1,16.7189998626709,test,1,z,82419.30000000075,jc,13281.000137329102,z,1428,,9.0,yes,1435.0,80984.30000000075,pipe_new_013a.bmp,pipe_new_013a.bmp,,,7
8,1.0,1,17.745999813079834,test,1,m,83446.09999999963,jc,12254.000186920166,m,1010,,20.0,no,1021.2999999988824,82424.80000000075,pipe_new_029a.bmp,pipe_new_030a.bmp,,,8
8,1.0,1,18.852999925613403,test,0,m,84552.59999999963,jc,11147.000074386597,z,1088,,36.0,no,1101.199999999255,83451.40000000037,pipe_new_053a.bmp,pipe_new_054a.bmp,,,9
9,1.0,1,23.652999877929688,test,1,m,89353.40000000037,jc,6347.0001220703125,m,4782,,14.0,no,4795.800000000745,84557.59999999963,pipe_new_020a.bmp,pipe_new_021a.bmp,,,10
10,1.0,1,24.5719997882843,test,1,m,90272.30000000075,jc,5428.000211715698,m,910,,16.0,no,914.8000000007451,89357.5,pipe_new_023a.bmp,pipe_new_024a.bmp,,,11
11,1.0,1,25.798999786376953,test,1,z,91499.09999999963,jc,4201.000213623047,z,1207,,21.0,yes,1222.0,90277.09999999963,pipe_new_031a.bmp,pipe_new_031a.bmp,,,12
12,1.0,1,27.745999813079834,test,1,m,93445.59999999963,jc,2254.000186920166,m,1931,,28.0,no,1941.0,91504.59999999963,pipe_new_041a.bmp,pipe_new_042a.bmp,,,13
13,1.0,1,28.625999927520752,test,1,m,94325.59999999963,jc,1374.000072479248,m,865,,10.0,no,874.8999999985099,93450.70000000112,pipe_new_014a.bmp,pipe_new_015a.bmp,,,14
14,1.0,1,29.478999853134155,test,1,m,95178.90000000037,jc,521.0001468658447,m,833,,32.0,no,848.3000000007451,94330.59999999963,pipe_new_047a.bmp,pipe_new_048a.bmp,,,15
14,1.0,1,30.013000011444092,test,0,z,95712.80000000075,jc,-13.000011444091797,None,526,,7.0,yes,528.4000000003725,95184.40000000037,pipe_new_010a.bmp,pipe_new_010a.bmp,,,16
0,2.0,2,4.384999990463257,test,0,m,103125.30000000075,jc,25615.000009536743,z,4374,,6.0,no,7940.9000000003725,95184.40000000037,pipe_new_068a.bmp,pipe_new_069a.bmp,,,1
1,2.0,2,14.851999998092651,test,1,m,113591.70000000112,jc,15148.000001907349,m,10451,,38.0,no,18407.300000000745,95184.40000000037,pipe_new_116a.bmp,pipe_new_117a.bmp,,,2
2,2.0,2,17.664999961853027,test,1,z,116404.80000000075,jc,12335.000038146973,z,2799,,13.0,yes,21220.400000000373,95184.40000000037,pipe_new_079a.bmp,pipe_new_079a.bmp,,,3
3,2.0,2,18.85199999809265,test,1,z,117591.59999999963,jc,11148.000001907349,z,1171,,11.0,yes,22407.199999999255,95184.40000000037,pipe_new_076a.bmp,pipe_new_076a.bmp,,,4
4,2.0,2,20.477999925613403,test,1,m,119218.30000000075,jc,9522.000074386597,m,1616,,28.0,no,24033.900000000373,95184.40000000037,pipe_new_101a.bmp,pipe_new_102a.bmp,,,5
5,2.0,2,21.664999961853027,test,1,m,120404.70000000112,jc,8335.000038146973,m,1173,,32.0,no,25220.300000000745,95184.40000000037,pipe_new_107a.bmp,pipe_new_108a.bmp,,,6
6,2.0,2,25.250999927520752,test,1,z,123991.40000000037,jc,4749.000072479248,z,3570,,27.0,yes,28807.0,95184.40000000037,pipe_new_100a.bmp,pipe_new_100a.bmp,,,7
7,2.0,2,27.437999963760376,test,1,z,126178.09999999963,jc,2562.000036239624,z,2177,,23.0,yes,30993.699999999255,95184.40000000037,pipe_new_094a.bmp,pipe_new_094a.bmp,,,8
8,2.0,2,28.384999990463257,test,1,m,127124.70000000112,jc,1615.0000095367432,m,932,,16.0,no,31940.300000000745,95184.40000000037,pipe_new_083a.bmp,pipe_new_084a.bmp,,,9
9,2.0,2,29.35800004005432,test,1,m,128097.80000000075,jc,641.9999599456787,m,961,,10.0,no,32913.40000000037,95184.40000000037,pipe_new_074a.bmp,pipe_new_075a.bmp,,,10
9,2.0,2,30.01099991798401,test,0,m,128751.40000000037,jc,-10.999917984008789,None,646,,26.0,no,33567.0,95184.40000000037,pipe_new_098a.bmp,pipe_new_099a.bmp,,,11
