acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,jeb,30000.0,enter,1880,,,,,,,,,,0
1,1.0,1,1.319000005722046,test,1,m,179161.90000000224,jeb,28680.999994277954,m,1310,,8.0,no,1314.6000000014901,177847.30000000075,pipe_new_011a.bmp,pipe_new_012a.bmp,,,1
2,1.0,1,2.4790000915527344,test,1,z,180321.69999999925,jeb,27520.999908447266,z,1144,,5.0,yes,1154.199999999255,179167.5,pipe_new_007a.bmp,pipe_new_007a.bmp,,,2
3,1.0,1,3.3589999675750732,test,1,m,181201.69999999925,jeb,26641.000032424927,m,862,,2.0,no,874.3999999985099,180327.30000000075,pipe_new_002a.bmp,pipe_new_003a.bmp,,,3
4,1.0,1,4.411999940872192,test,1,m,182255.0,jeb,25588.000059127808,m,1040,,24.0,no,1048.300000000745,181206.69999999925,pipe_new_035a.bmp,pipe_new_036a.bmp,,,4
5,1.0,1,5.371999979019165,test,1,z,183214.90000000224,jeb,24628.000020980835,z,947,,35.0,yes,954.5,182260.40000000224,pipe_new_052a.bmp,pipe_new_052a.bmp,,,5
6,1.0,1,6.746000051498413,test,1,m,184588.19999999925,jeb,23253.999948501587,m,1363,,12.0,no,1368.5999999977648,183219.6000000015,pipe_new_017a.bmp,pipe_new_018a.bmp,,,6
6,1.0,1,7.026000022888184,test,0,m,184868.19999999925,jeb,22973.999977111816,z,262,,18.0,no,275.3999999985099,184592.80000000075,pipe_new_026a.bmp,pipe_new_027a.bmp,,,7
7,1.0,1,8.719000101089478,test,1,z,186561.5,jeb,21280.999898910522,z,1678,,37.0,yes,1687.800000000745,184873.69999999925,pipe_new_055a.bmp,pipe_new_055a.bmp,,,8
8,1.0,1,9.692000150680542,test,1,z,187534.90000000224,jeb,20307.999849319458,z,961,,21.0,yes,968.5,186566.40000000224,pipe_new_031a.bmp,pipe_new_031a.bmp,,,9
9,1.0,1,10.3989999294281,test,1,m,188241.40000000224,jeb,19601.0000705719,m,689,,32.0,no,700.7000000029802,187540.69999999925,pipe_new_047a.bmp,pipe_new_048a.bmp,,,10
10,1.0,1,11.052000045776367,test,1,z,188894.69999999925,jeb,18947.999954223633,z,641,,23.0,yes,648.2999999970198,188246.40000000224,pipe_new_034a.bmp,pipe_new_034a.bmp,,,11
10,1.0,1,11.146000146865845,test,0,z,188988.1000000015,jeb,18853.999853134155,m,83,,9.0,yes,88.40000000223517,188899.69999999925,pipe_new_013a.bmp,pipe_new_013a.bmp,,,12
11,1.0,1,11.931999921798706,test,1,z,189774.69999999925,jeb,18068.000078201294,z,774,,15.0,yes,781.5,188993.19999999925,pipe_new_022a.bmp,pipe_new_022a.bmp,,,13
11,1.0,1,12.67900013923645,test,0,z,190521.30000000075,jeb,17320.99986076355,m,738,,27.0,yes,741.6000000014901,189779.69999999925,pipe_new_040a.bmp,pipe_new_040a.bmp,,,14
12,1.0,1,14.625,test,1,m,192467.90000000224,jeb,15375.0,m,1928,,20.0,no,1941.9000000022352,190526.0,pipe_new_029a.bmp,pipe_new_030a.bmp,,,15
13,1.0,1,17.039000034332275,test,1,m,194881.30000000075,jeb,12960.999965667725,m,2398,,36.0,no,2408.699999999255,192472.6000000015,pipe_new_053a.bmp,pipe_new_054a.bmp,,,16
14,1.0,1,18.02500009536743,test,1,m,195867.80000000075,jeb,11974.999904632568,m,976,,30.0,no,981.3000000007451,194886.5,pipe_new_044a.bmp,pipe_new_045a.bmp,,,17
15,1.0,1,18.865000009536743,test,1,z,196707.80000000075,jeb,11134.999990463257,z,823,,29.0,yes,835.1000000014901,195872.69999999925,pipe_new_043a.bmp,pipe_new_043a.bmp,,,18
16,1.0,1,19.83899998664856,test,1,m,197681.1000000015,jeb,10161.00001335144,m,958,,28.0,no,968.3000000007451,196712.80000000075,pipe_new_041a.bmp,pipe_new_042a.bmp,,,19
