 acc_mean  block  block_c  block_dur condition   correct correct_response  endtime multichar_response    resp_time response  response_time response_time_practice_response  row_sel same  start_end  starttime             stim1             stim2 subject_id time_practice  trial
        0    NaN        0      0.000      None undefined             None      NaN                jeb 30000.000000    enter           1880                            None      NaN None        NaN        NaN              None              None       None          None      0
        1    1.0        1      1.319      test         1                m 179161.9                jeb 28680.999994        m           1310                            None      8.0   no     1314.6   177847.3 pipe_new_011a.bmp pipe_new_012a.bmp       None          None      1
        2    1.0        1      2.479      test         1                z 180321.7                jeb 27520.999908        z           1144                            None      5.0  yes     1154.2   179167.5 pipe_new_007a.bmp pipe_new_007a.bmp       None          None      2
        3    1.0        1      3.359      test         1                m 181201.7                jeb 26641.000032        m            862                            None      2.0   no      874.4   180327.3 pipe_new_002a.bmp pipe_new_003a.bmp       None          None      3
        4    1.0        1      4.412      test         1                m 182255.0                jeb 25588.000059        m           1040                            None     24.0   no     1048.3   181206.7 pipe_new_035a.bmp pipe_new_036a.bmp       None          None      4
        5    1.0        1      5.372      test         1                z 183214.9                jeb 24628.000021        z            947                            None     35.0  yes      954.5   182260.4 pipe_new_052a.bmp pipe_new_052a.bmp       None          None      5
        6    1.0        1      6.746      test         1                m 184588.2                jeb 23253.999949        m           1363                            None     12.0   no     1368.6   183219.6 pipe_new_017a.bmp pipe_new_018a.bmp       None          None      6
        6    1.0        1      7.026      test         0                m 184868.2                jeb 22973.999977        z            262                            None     18.0   no      275.4   184592.8 pipe_new_026a.bmp pipe_new_027a.bmp       None          None      7
        7    1.0        1      8.719      test         1                z 186561.5                jeb 21280.999899        z           1678                            None     37.0  yes     1687.8   184873.7 pipe_new_055a.bmp pipe_new_055a.bmp       None          None      8
        8    1.0        1      9.692      test         1                z 187534.9                jeb 20307.999849        z            961                            None     21.0  yes      968.5   186566.4 pipe_new_031a.bmp pipe_new_031a.bmp       None          None      9
        9    1.0        1     10.399      test         1                m 188241.4                jeb 19601.000071        m            689                            None     32.0   no      700.7   187540.7 pipe_new_047a.bmp pipe_new_048a.bmp       None          None     10
       10    1.0        1     11.052      test         1                z 188894.7                jeb 18947.999954        z            641                            None     23.0  yes      648.3   188246.4 pipe_new_034a.bmp pipe_new_034a.bmp       None          None     11
       10    1.0        1     11.146      test         0                z 188988.1                jeb 18853.999853        m             83                            None      9.0  yes       88.4   188899.7 pipe_new_013a.bmp pipe_new_013a.bmp       None          None     12
       11    1.0        1     11.932      test         1                z 189774.7                jeb 18068.000078        z            774                            None     15.0  yes      781.5   188993.2 pipe_new_022a.bmp pipe_new_022a.bmp       None          None     13
       11    1.0        1     12.679      test         0                z 190521.3                jeb 17320.999861        m            738                            None     27.0  yes      741.6   189779.7 pipe_new_040a.bmp pipe_new_040a.bmp       None          None     14
       12    1.0        1     14.625      test         1                m 192467.9                jeb 15375.000000        m           1928                            None     20.0   no     1941.9   190526.0 pipe_new_029a.bmp pipe_new_030a.bmp       None          None     15
       13    1.0        1     17.039      test         1                m 194881.3                jeb 12960.999966        m           2398                            None     36.0   no     2408.7   192472.6 pipe_new_053a.bmp pipe_new_054a.bmp       None          None     16
       14    1.0        1     18.025      test         1                m 195867.8                jeb 11974.999905        m            976                            None     30.0   no      981.3   194886.5 pipe_new_044a.bmp pipe_new_045a.bmp       None          None     17
       15    1.0        1     18.865      test         1                z 196707.8                jeb 11134.999990        z            823                            None     29.0  yes      835.1   195872.7 pipe_new_043a.bmp pipe_new_043a.bmp       None          None     18
