acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,kv,30000.0,enter,3219,,,,,,,,,,0
1,1.0,1,1.7330000400543213,test,1,m,65664.10000000149,kv,28266.99995994568,m,1717,,38.0,no,1727.6000000014901,63936.5,pipe_new_056a.bmp,pipe_new_057a.bmp,,,1
2,1.0,1,3.0390000343322754,test,1,z,66970.40000000224,kv,26960.999965667725,z,1296,,7.0,yes,1300.7000000029802,65669.69999999925,pipe_new_010a.bmp,pipe_new_010a.bmp,,,2
3,1.0,1,4.240000009536743,test,1,z,68171.10000000149,kv,25759.999990463257,z,1191,,29.0,yes,1195.5,66975.60000000149,pipe_new_043a.bmp,pipe_new_043a.bmp,,,3
4,1.0,1,5.3470001220703125,test,1,z,69277.80000000075,kv,24652.999877929688,z,1094,,17.0,yes,1101.6000000014901,68176.19999999925,pipe_new_025a.bmp,pipe_new_025a.bmp,,,4
5,1.0,1,6.373000144958496,test,1,m,70303.60000000149,kv,23626.999855041504,m,1011,,18.0,no,1020.8000000007451,69282.80000000075,pipe_new_026a.bmp,pipe_new_027a.bmp,,,5
6,1.0,1,7.598999977111816,test,1,m,71529.90000000224,kv,22401.000022888184,m,1217,,34.0,no,1221.1000000014901,70308.80000000075,pipe_new_050a.bmp,pipe_new_051a.bmp,,,6
7,1.0,1,8.56000018119812,test,1,z,72491.0,kv,21439.99981880188,z,952,,21.0,yes,956.0999999977648,71534.90000000224,pipe_new_031a.bmp,pipe_new_031a.bmp,,,7
8,1.0,1,9.598999977111816,test,1,z,73530.30000000075,kv,20401.000022888184,z,1030,,11.0,yes,1034.3999999985099,72495.90000000224,pipe_new_016a.bmp,pipe_new_016a.bmp,,,8
9,1.0,1,10.78600001335144,test,1,z,74717.5,kv,19213.99998664856,z,1175,,15.0,yes,1182.3999999985099,73535.10000000149,pipe_new_022a.bmp,pipe_new_022a.bmp,,,9
10,1.0,1,12.212000131607056,test,1,m,76143.5,kv,17787.999868392944,m,1414,,4.0,no,1422.5999999977648,74720.90000000224,pipe_new_005a.bmp,pipe_new_006a.bmp,,,10
11,1.0,1,13.386000156402588,test,1,m,77317.0,kv,16613.999843597412,m,1152,,30.0,no,1168.0999999977648,76148.90000000224,pipe_new_044a.bmp,pipe_new_045a.bmp,,,11
12,1.0,1,14.546000003814697,test,1,z,78476.80000000075,kv,15453.999996185303,z,1148,,27.0,yes,1154.699999999255,77322.10000000149,pipe_new_040a.bmp,pipe_new_040a.bmp,,,12
13,1.0,1,16.371999979019165,test,1,m,80303.40000000224,kv,13628.000020980835,m,1812,,6.0,no,1821.9000000022352,78481.5,pipe_new_008a.bmp,pipe_new_009a.bmp,,,13
14,1.0,1,17.199000120162964,test,1,z,81130.0,kv,12800.999879837036,z,817,,23.0,yes,821.5999999977648,80308.40000000224,pipe_new_034a.bmp,pipe_new_034a.bmp,,,14
15,1.0,1,18.439000129699707,test,1,m,82370.10000000149,kv,11560.999870300293,m,1224,,16.0,no,1236.199999999255,81133.90000000224,pipe_new_023a.bmp,pipe_new_024a.bmp,,,15
16,1.0,1,20.039000034332275,test,1,m,83970.10000000149,kv,9960.999965667725,m,1581,,8.0,no,1595.199999999255,82374.90000000224,pipe_new_011a.bmp,pipe_new_012a.bmp,,,16
17,1.0,1,21.384999990463257,test,1,m,85316.5,kv,8615.000009536743,m,1326,,26.0,no,1340.800000000745,83975.69999999925,pipe_new_038a.bmp,pipe_new_039a.bmp,,,17
18,1.0,1,22.305000066757202,test,1,z,86236.5,kv,7694.999933242798,z,909,,39.0,yes,915.0,85321.5,pipe_new_058a.bmp,pipe_new_058a.bmp,,,18
19,1.0,1,23.199000120162964,test,1,m,87129.80000000075,kv,6800.999879837036,m,884,,36.0,no,888.0,86241.80000000075,pipe_new_053a.bmp,pipe_new_054a.bmp,,,19
20,1.0,1,24.11900019645691,test,1,m,88049.90000000224,kv,5880.999803543091,m,903,,20.0,no,915.4000000022352,87134.5,pipe_new_029a.bmp,pipe_new_030a.bmp,,,20
21,1.0,1,25.106000185012817,test,1,z,89037.19999999925,kv,4893.999814987183,z,975,,9.0,yes,982.3999999985099,88054.80000000075,pipe_new_013a.bmp,pipe_new_013a.bmp,,,21
22,1.0,1,25.95900011062622,test,1,m,89889.90000000224,kv,4040.9998893737793,m,835,,12.0,no,847.6000000014901,89042.30000000075,pipe_new_017a.bmp,pipe_new_018a.bmp,,,22
23,1.0,1,26.919000148773193,test,1,z,90849.69999999925,kv,3080.9998512268066,z,943,,1.0,yes,954.3999999985099,89895.30000000075,pipe_new_001a.bmp,pipe_new_001a.bmp,,,23
24,1.0,1,28.105000019073486,test,1,m,92036.40000000224,kv,1894.9999809265137,m,1166,,22.0,no,1181.5,90854.90000000224,pipe_new_032a.bmp,pipe_new_033a.bmp,,,24
25,1.0,1,29.225000143051147,test,1,z,93156.5,kv,774.9998569488525,z,1100,,37.0,yes,1114.8999999985099,92041.60000000149,pipe_new_055a.bmp,pipe_new_055a.bmp,,,25
25,1.0,1,30.01200008392334,test,0,z,93943.30000000075,kv,-12.000083923339844,None,780,,19.0,yes,781.8000000007451,93161.5,pipe_new_028a.bmp,pipe_new_028a.bmp,,,26
1,2.0,2,2.6519999504089355,test,1,m,99449.5,kv,27348.000049591064,m,2644,,12.0,no,6288.0,93161.5,pipe_new_077a.bmp,pipe_new_078a.bmp,,,1
1,2.0,2,3.5189998149871826,test,0,z,100316.10000000149,kv,26481.000185012817,m,858,,9.0,yes,7154.60000000149,93161.5,pipe_new_073a.bmp,pipe_new_073a.bmp,,,2
2,2.0,2,6.332000017166138,test,1,z,103129.19999999925,kv,23667.999982833862,z,2804,,11.0,yes,9967.699999999255,93161.5,pipe_new_076a.bmp,pipe_new_076a.bmp,,,3
3,2.0,2,7.398999929428101,test,1,z,104196.10000000149,kv,22601.0000705719,z,1050,,3.0,yes,11034.60000000149,93161.5,pipe_new_064a.bmp,pipe_new_064a.bmp,,,4
4,2.0,2,8.744999885559082,test,1,z,105542.5,kv,21255.000114440918,z,1338,,33.0,yes,12381.0,93161.5,pipe_new_109a.bmp,pipe_new_109a.bmp,,,5
5,2.0,2,9.50599980354309,test,1,z,106302.5,kv,20494.00019645691,z,749,,37.0,yes,13141.0,93161.5,pipe_new_115a.bmp,pipe_new_115a.bmp,,,6
6,2.0,2,10.491999864578247,test,1,m,107289.19999999925,kv,19508.000135421753,m,978,,18.0,no,14127.699999999255,93161.5,pipe_new_086a.bmp,pipe_new_087a.bmp,,,7
7,2.0,2,11.504999876022339,test,1,m,108302.5,kv,18495.00012397766,m,999,,14.0,no,15141.0,93161.5,pipe_new_080a.bmp,pipe_new_081a.bmp,,,8
8,2.0,2,12.598999977111816,test,1,z,109395.69999999925,kv,17401.000022888184,z,1075,,5.0,yes,16234.199999999255,93161.5,pipe_new_067a.bmp,pipe_new_067a.bmp,,,9
9,2.0,2,13.531999826431274,test,1,z,110329.0,kv,16468.000173568726,z,926,,21.0,yes,17167.5,93161.5,pipe_new_091a.bmp,pipe_new_091a.bmp,,,10
10,2.0,2,14.611999988555908,test,1,z,111409.10000000149,kv,15388.000011444092,z,1065,,1.0,yes,18247.60000000149,93161.5,pipe_new_061a.bmp,pipe_new_061a.bmp,,,11
11,2.0,2,15.771999835968018,test,1,m,112569.0,kv,14228.000164031982,m,1151,,32.0,no,19407.5,93161.5,pipe_new_107a.bmp,pipe_new_108a.bmp,,,12
12,2.0,2,16.944999933242798,test,1,m,113742.40000000224,kv,13055.000066757202,m,1159,,38.0,no,20580.900000002235,93161.5,pipe_new_116a.bmp,pipe_new_117a.bmp,,,13
