 acc_mean  block  block_c  block_dur condition   correct correct_response  endtime multichar_response    resp_time response  response_time response_time_practice_response  row_sel same  start_end  starttime             stim1             stim2 subject_id time_practice  trial
        0    NaN        0      0.000      None undefined             None      NaN                 kv 30000.000000    enter           3219                            None      NaN None        NaN        NaN              None              None       None          None      0
        1    1.0        1      1.733      test         1                m  65664.1                 kv 28266.999960        m           1717                            None     38.0   no     1727.6    63936.5 pipe_new_056a.bmp pipe_new_057a.bmp       None          None      1
        2    1.0        1      3.039      test         1                z  66970.4                 kv 26960.999966        z           1296                            None      7.0  yes     1300.7    65669.7 pipe_new_010a.bmp pipe_new_010a.bmp       None          None      2
        3    1.0        1      4.240      test         1                z  68171.1                 kv 25759.999990        z           1191                            None     29.0  yes     1195.5    66975.6 pipe_new_043a.bmp pipe_new_043a.bmp       None          None      3
        4    1.0        1      5.347      test         1                z  69277.8                 kv 24652.999878        z           1094                            None     17.0  yes     1101.6    68176.2 pipe_new_025a.bmp pipe_new_025a.bmp       None          None      4
        5    1.0        1      6.373      test         1                m  70303.6                 kv 23626.999855        m           1011                            None     18.0   no     1020.8    69282.8 pipe_new_026a.bmp pipe_new_027a.bmp       None          None      5
        6    1.0        1      7.599      test         1                m  71529.9                 kv 22401.000023        m           1217                            None     34.0   no     1221.1    70308.8 pipe_new_050a.bmp pipe_new_051a.bmp       None          None      6
        7    1.0        1      8.560      test         1                z  72491.0                 kv 21439.999819        z            952                            None     21.0  yes      956.1    71534.9 pipe_new_031a.bmp pipe_new_031a.bmp       None          None      7
        8    1.0        1      9.599      test         1                z  73530.3                 kv 20401.000023        z           1030                            None     11.0  yes     1034.4    72495.9 pipe_new_016a.bmp pipe_new_016a.bmp       None          None      8
        9    1.0        1     10.786      test         1                z  74717.5                 kv 19213.999987        z           1175                            None     15.0  yes     1182.4    73535.1 pipe_new_022a.bmp pipe_new_022a.bmp       None          None      9
       10    1.0        1     12.212      test         1                m  76143.5                 kv 17787.999868        m           1414                            None      4.0   no     1422.6    74720.9 pipe_new_005a.bmp pipe_new_006a.bmp       None          None     10
       11    1.0        1     13.386      test         1                m  77317.0                 kv 16613.999844        m           1152                            None     30.0   no     1168.1    76148.9 pipe_new_044a.bmp pipe_new_045a.bmp       None          None     11
       12    1.0        1     14.546      test         1                z  78476.8                 kv 15453.999996        z           1148                            None     27.0  yes     1154.7    77322.1 pipe_new_040a.bmp pipe_new_040a.bmp       None          None     12
       13    1.0        1     16.372      test         1                m  80303.4                 kv 13628.000021        m           1812                            None      6.0   no     1821.9    78481.5 pipe_new_008a.bmp pipe_new_009a.bmp       None          None     13
       14    1.0        1     17.199      test         1                z  81130.0                 kv 12800.999880        z            817                            None     23.0  yes      821.6    80308.4 pipe_new_034a.bmp pipe_new_034a.bmp       None          None     14
       15    1.0        1     18.439      test         1                m  82370.1                 kv 11560.999870        m           1224                            None     16.0   no     1236.2    81133.9 pipe_new_023a.bmp pipe_new_024a.bmp       None          None     15
       16    1.0        1     20.039      test         1                m  83970.1                 kv  9960.999966        m           1581                            None      8.0   no     1595.2    82374.9 pipe_new_011a.bmp pipe_new_012a.bmp       None          None     16
       17    1.0        1     21.385      test         1                m  85316.5                 kv  8615.000010        m           1326                            None     26.0   no     1340.8    83975.7 pipe_new_038a.bmp pipe_new_039a.bmp       None          None     17
       18    1.0        1     22.305      test         1                z  86236.5                 kv  7694.999933        z            909                            None     39.0  yes      915.0    85321.5 pipe_new_058a.bmp pipe_new_058a.bmp       None          None     18
