acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,lae,30000.0,enter,1662,,,,,,,,,,0
1,1.0,1,1.2129998207092285,test,1,z,55724.89999999851,lae,28787.00017929077,z,1202,,1.0,yes,1207.199999999255,54517.699999999255,pipe_new_001a.bmp,pipe_new_001a.bmp,,,1
2,1.0,1,2.4789998531341553,test,1,z,56991.39999999851,lae,27521.000146865845,z,1253,,33.0,yes,1260.800000000745,55730.599999997765,pipe_new_049a.bmp,pipe_new_049a.bmp,,,2
3,1.0,1,4.22599983215332,test,1,m,58738.0,lae,25774.00016784668,m,1729,,38.0,no,1740.9000000022352,56997.099999997765,pipe_new_056a.bmp,pipe_new_057a.bmp,,,3
3,1.0,1,5.45199990272522,test,0,z,59964.5,lae,24548.00009727478,m,1215,,7.0,yes,1220.699999999255,58743.800000000745,pipe_new_010a.bmp,pipe_new_010a.bmp,,,4
4,1.0,1,6.492999792098999,test,1,z,61005.199999999255,lae,23507.000207901,z,1030,,35.0,yes,1035.699999999255,59969.5,pipe_new_052a.bmp,pipe_new_052a.bmp,,,5
5,1.0,1,7.3459999561309814,test,1,m,61857.800000000745,lae,22654.00004386902,m,833,,14.0,no,847.0,61010.800000000745,pipe_new_020a.bmp,pipe_new_021a.bmp,,,6
6,1.0,1,8.078999996185303,test,1,z,62591.199999999255,lae,21921.000003814697,z,718,,31.0,yes,729.8999999985099,61861.300000000745,pipe_new_046a.bmp,pipe_new_046a.bmp,,,7
7,1.0,1,8.905999898910522,test,1,m,63417.800000000745,lae,21094.000101089478,m,820,,24.0,no,822.8000000007451,62595.0,pipe_new_035a.bmp,pipe_new_036a.bmp,,,8
8,1.0,1,10.145999908447266,test,1,m,64657.699999999255,lae,19854.000091552734,m,1224,,34.0,no,1235.0,63422.699999999255,pipe_new_050a.bmp,pipe_new_051a.bmp,,,9
8,1.0,1,11.305999994277954,test,0,z,65817.59999999776,lae,18694.000005722046,m,1152,,9.0,yes,1154.5999999977648,64663.0,pipe_new_013a.bmp,pipe_new_013a.bmp,,,10
9,1.0,1,12.559999942779541,test,1,m,67071.80000000075,lae,17440.00005722046,m,1240,,30.0,no,1249.300000000745,65822.5,pipe_new_044a.bmp,pipe_new_045a.bmp,,,11
10,1.0,1,14.078999996185303,test,1,m,68590.89999999851,lae,15921.000003814697,m,1505,,36.0,no,1514.300000000745,67076.59999999776,pipe_new_053a.bmp,pipe_new_054a.bmp,,,12
11,1.0,1,15.01199984550476,test,1,z,69524.30000000075,lae,14988.00015449524,z,915,,3.0,yes,929.0,68595.30000000075,pipe_new_004a.bmp,pipe_new_004a.bmp,,,13
12,1.0,1,15.931999921798706,test,1,m,70444.30000000075,lae,14068.000078201294,m,909,,12.0,no,915.5,69528.80000000075,pipe_new_017a.bmp,pipe_new_018a.bmp,,,14
13,1.0,1,16.732999801635742,test,1,m,71245.09999999776,lae,13267.000198364258,m,789,,6.0,no,795.5999999977648,70449.5,pipe_new_008a.bmp,pipe_new_009a.bmp,,,15
14,1.0,1,18.264999866485596,test,1,z,72777.59999999776,lae,11735.000133514404,z,1526,,39.0,yes,1527.8999999985099,71249.69999999925,pipe_new_058a.bmp,pipe_new_058a.bmp,,,16
15,1.0,1,19.131999969482422,test,1,m,73644.09999999776,lae,10868.000030517578,m,855,,26.0,no,861.5,72782.59999999776,pipe_new_038a.bmp,pipe_new_039a.bmp,,,17
16,1.0,1,20.092999935150146,test,1,z,74605.19999999925,lae,9907.000064849854,z,951,,17.0,yes,956.5,73648.69999999925,pipe_new_025a.bmp,pipe_new_025a.bmp,,,18
17,1.0,1,21.11899995803833,test,1,z,75630.69999999925,lae,8881.00004196167,z,1013,,13.0,yes,1020.1999999992549,74610.5,pipe_new_019a.bmp,pipe_new_019a.bmp,,,19
18,1.0,1,22.17199993133545,test,1,z,76683.89999999851,lae,7828.000068664551,z,1044,,25.0,yes,1048.699999999255,75635.19999999925,pipe_new_037a.bmp,pipe_new_037a.bmp,,,20
19,1.0,1,23.264999866485596,test,1,z,77777.39999999851,lae,6735.000133514404,z,1079,,27.0,yes,1088.800000000745,76688.59999999776,pipe_new_040a.bmp,pipe_new_040a.bmp,,,21
20,1.0,1,24.251999855041504,test,1,z,78764.0,lae,5748.000144958496,z,967,,11.0,yes,981.6000000014901,77782.39999999851,pipe_new_016a.bmp,pipe_new_016a.bmp,,,22
21,1.0,1,24.971999883651733,test,1,m,79483.89999999851,lae,5028.000116348267,m,708,,40.0,no,714.5999999977648,78769.30000000075,pipe_new_059a.bmp,pipe_new_060a.bmp,,,23
22,1.0,1,25.811999797821045,test,1,m,80323.89999999851,lae,4188.000202178955,m,821,,20.0,no,835.1999999992549,79488.69999999925,pipe_new_029a.bmp,pipe_new_030a.bmp,,,24
23,1.0,1,27.264999866485596,test,1,z,81777.39999999851,lae,2735.0001335144043,z,1437,,5.0,yes,1449.0,80328.39999999851,pipe_new_007a.bmp,pipe_new_007a.bmp,,,25
24,1.0,1,28.264999866485596,test,1,m,82777.19999999925,lae,1735.0001335144043,m,991,,22.0,no,994.3000000007451,81782.89999999851,pipe_new_032a.bmp,pipe_new_033a.bmp,,,26
25,1.0,1,29.73199987411499,test,1,z,84243.69999999925,lae,268.00012588500977,z,1449,,19.0,yes,1461.300000000745,82782.39999999851,pipe_new_028a.bmp,pipe_new_028a.bmp,,,27
25,1.0,1,30.01199984550476,test,0,m,84524.19999999925,lae,-11.999845504760742,None,272,,32.0,no,275.5,84248.69999999925,pipe_new_047a.bmp,pipe_new_048a.bmp,,,28
1,2.0,2,5.611999988555908,test,1,z,93723.5,lae,24388.00001144409,z,5604,,13.0,yes,9474.800000000745,84248.69999999925,pipe_new_079a.bmp,pipe_new_079a.bmp,,,1
2,2.0,2,7.45199990272522,test,1,m,95563.5,lae,22548.00009727478,m,1830,,12.0,no,11314.800000000745,84248.69999999925,pipe_new_077a.bmp,pipe_new_078a.bmp,,,2
2,2.0,2,8.931999921798706,test,0,m,97043.39999999851,lae,21068.000078201294,z,1461,,6.0,no,12794.699999999255,84248.69999999925,pipe_new_068a.bmp,pipe_new_069a.bmp,,,3
3,2.0,2,10.811999797821045,test,1,m,98923.19999999925,lae,19188.000202178955,m,1870,,22.0,no,14674.5,84248.69999999925,pipe_new_092a.bmp,pipe_new_093a.bmp,,,4
4,2.0,2,11.625,test,1,m,99736.39999999851,lae,18375.0,m,806,,30.0,no,15487.699999999255,84248.69999999925,pipe_new_104a.bmp,pipe_new_105a.bmp,,,5
5,2.0,2,12.66599988937378,test,1,m,100777.09999999776,lae,17334.00011062622,m,1035,,32.0,no,16528.39999999851,84248.69999999925,pipe_new_107a.bmp,pipe_new_108a.bmp,,,6
6,2.0,2,13.425999879837036,test,1,z,101536.59999999776,lae,16574.000120162964,z,745,,17.0,yes,17287.89999999851,84248.69999999925,pipe_new_085a.bmp,pipe_new_085a.bmp,,,7
