acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,mv,30000.0,enter,2018,,,,,,,,,,0
1,1.0,1,1.7179999351501465,test,1,z,49767.0,mv,28282.000064849854,z,1682,,31.0,yes,1703.0,48064.0,pipe_new_046a.bmp,pipe_new_046a.bmp,,,1
2,1.0,1,3.6510000228881836,test,1,z,51700.0,mv,26348.999977111816,z,1910,,15.0,yes,1921.0,49779.0,pipe_new_022a.bmp,pipe_new_022a.bmp,,,2
3,1.0,1,4.367000102996826,test,1,m,52417.0,mv,25632.999897003174,m,696,,18.0,no,705.0,51712.0,pipe_new_026a.bmp,pipe_new_027a.bmp,,,3
4,1.0,1,5.4670000076293945,test,1,z,53517.0,mv,24532.999992370605,z,1074,,7.0,yes,1093.0,52424.0,pipe_new_010a.bmp,pipe_new_010a.bmp,,,4
5,1.0,1,6.549999952316284,test,1,m,54600.0,mv,23450.000047683716,m,1061,,12.0,no,1075.0,53525.0,pipe_new_017a.bmp,pipe_new_018a.bmp,,,5
6,1.0,1,7.550999879837036,test,1,z,55600.0,mv,22449.000120162964,z,975,,35.0,yes,991.9999999999927,54608.00000000001,pipe_new_052a.bmp,pipe_new_052a.bmp,,,6
7,1.0,1,8.250999927520752,test,1,z,56300.00000000001,mv,21749.000072479248,z,677,,25.0,yes,689.0,55611.00000000001,pipe_new_037a.bmp,pipe_new_037a.bmp,,,7
8,1.0,1,8.983999967575073,test,1,z,57033.0,mv,21016.000032424927,z,711,,9.0,yes,722.0,56311.0,pipe_new_013a.bmp,pipe_new_013a.bmp,,,8
9,1.0,1,9.800999879837036,test,1,z,57850.0,mv,20199.000120162964,z,789,,39.0,yes,807.0,57043.0,pipe_new_058a.bmp,pipe_new_058a.bmp,,,9
10,1.0,1,10.783999919891357,test,1,z,58833.0,mv,19216.000080108643,z,958,,13.0,yes,971.9999999999927,57861.00000000001,pipe_new_019a.bmp,pipe_new_019a.bmp,,,10
11,1.0,1,11.700999975204468,test,1,m,59750.0,mv,18299.000024795532,m,891,,14.0,no,906.0,58844.0,pipe_new_020a.bmp,pipe_new_021a.bmp,,,11
12,1.0,1,12.41700005531311,test,1,m,60467.0,mv,17582.99994468689,m,688,,26.0,no,707.0,59760.0,pipe_new_038a.bmp,pipe_new_039a.bmp,,,12
13,1.0,1,13.684000015258789,test,1,m,61733.00000000001,mv,16315.999984741211,m,1245,,40.0,no,1255.0000000000073,60478.0,pipe_new_059a.bmp,pipe_new_060a.bmp,,,13
14,1.0,1,14.400000095367432,test,1,z,62450.0,mv,15599.999904632568,z,686,,23.0,yes,707.9999999999927,61742.00000000001,pipe_new_034a.bmp,pipe_new_034a.bmp,,,14
15,1.0,1,15.299999952316284,test,1,z,63350.0,mv,14700.000047683716,z,885,,19.0,yes,893.0,62457.0,pipe_new_028a.bmp,pipe_new_028a.bmp,,,15
16,1.0,1,16.050999879837036,test,1,m,64099.99999999999,mv,13949.000120162964,m,723,,30.0,no,739.9999999999927,63360.0,pipe_new_044a.bmp,pipe_new_045a.bmp,,,16
17,1.0,1,17.18400001525879,test,1,m,65233.99999999999,mv,12815.999984741211,m,1102,,38.0,no,1123.9999999999927,64110.0,pipe_new_056a.bmp,pipe_new_057a.bmp,,,17
