 acc_mean  block  block_c  block_dur condition   correct correct_response  endtime multichar_response    resp_time response  response_time response_time_practice_response  row_sel same  start_end  starttime             stim1             stim2 subject_id time_practice  trial
        0    NaN        0      0.000      None undefined             None      NaN                 mv 30000.000000    enter           2018                            None      NaN None        NaN        NaN              None              None       None          None      0
        1    1.0        1      1.718      test         1                z  49767.0                 mv 28282.000065        z           1682                            None     31.0  yes     1703.0    48064.0 pipe_new_046a.bmp pipe_new_046a.bmp       None          None      1
        2    1.0        1      3.651      test         1                z  51700.0                 mv 26348.999977        z           1910                            None     15.0  yes     1921.0    49779.0 pipe_new_022a.bmp pipe_new_022a.bmp       None          None      2
        3    1.0        1      4.367      test         1                m  52417.0                 mv 25632.999897        m            696                            None     18.0   no      705.0    51712.0 pipe_new_026a.bmp pipe_new_027a.bmp       None          None      3
        4    1.0        1      5.467      test         1                z  53517.0                 mv 24532.999992        z           1074                            None      7.0  yes     1093.0    52424.0 pipe_new_010a.bmp pipe_new_010a.bmp       None          None      4
        5    1.0        1      6.550      test         1                m  54600.0                 mv 23450.000048        m           1061                            None     12.0   no     1075.0    53525.0 pipe_new_017a.bmp pipe_new_018a.bmp       None          None      5
        6    1.0        1      7.551      test         1                z  55600.0                 mv 22449.000120        z            975                            None     35.0  yes      992.0    54608.0 pipe_new_052a.bmp pipe_new_052a.bmp       None          None      6
        7    1.0        1      8.251      test         1                z  56300.0                 mv 21749.000072        z            677                            None     25.0  yes      689.0    55611.0 pipe_new_037a.bmp pipe_new_037a.bmp       None          None      7
        8    1.0        1      8.984      test         1                z  57033.0                 mv 21016.000032        z            711                            None      9.0  yes      722.0    56311.0 pipe_new_013a.bmp pipe_new_013a.bmp       None          None      8
        9    1.0        1      9.801      test         1                z  57850.0                 mv 20199.000120        z            789                            None     39.0  yes      807.0    57043.0 pipe_new_058a.bmp pipe_new_058a.bmp       None          None      9
       10    1.0        1     10.784      test         1                z  58833.0                 mv 19216.000080        z            958                            None     13.0  yes      972.0    57861.0 pipe_new_019a.bmp pipe_new_019a.bmp       None          None     10
       11    1.0        1     11.701      test         1                m  59750.0                 mv 18299.000025        m            891                            None     14.0   no      906.0    58844.0 pipe_new_020a.bmp pipe_new_021a.bmp       None          None     11
       12    1.0        1     12.417      test         1                m  60467.0                 mv 17582.999945        m            688                            None     26.0   no      707.0    59760.0 pipe_new_038a.bmp pipe_new_039a.bmp       None          None     12
       13    1.0        1     13.684      test         1                m  61733.0                 mv 16315.999985        m           1245                            None     40.0   no     1255.0    60478.0 pipe_new_059a.bmp pipe_new_060a.bmp       None          None     13
       14    1.0        1     14.400      test         1                z  62450.0                 mv 15599.999905        z            686                            None     23.0  yes      708.0    61742.0 pipe_new_034a.bmp pipe_new_034a.bmp       None          None     14
       15    1.0        1     15.300      test         1                z  63350.0                 mv 14700.000048        z            885                            None     19.0  yes      893.0    62457.0 pipe_new_028a.bmp pipe_new_028a.bmp       None          None     15
