acc_mean,block,block_c,block_dur,condition,correct,correct_response,endtime,multichar_response,resp_time,response,response_time,response_time_practice_response,row_sel,same,start_end,starttime,stim1,stim2,subject_id,time_practice,trial
0,,0,0.0,,undefined,,,patrickkr,30000.0,enter,2425,,,,,,,,,,0
1,1.0,1,2.3989999294281006,test,1,z,67202.79999999888,patrickkr,27601.0000705719,z,2392,,37.0,yes,2395.0999999996275,64807.699999999255,pipe_new_055a.bmp,pipe_new_055a.bmp,,,1
2,1.0,1,3.357999801635742,test,1,z,68162.5,patrickkr,26642.000198364258,z,950,,19.0,yes,954.4000000003725,67208.09999999963,pipe_new_028a.bmp,pipe_new_028a.bmp,,,2
3,1.0,1,4.1579999923706055,test,1,m,68962.59999999963,patrickkr,25842.000007629395,m,792,,8.0,no,796.4000000003725,68166.19999999925,pipe_new_011a.bmp,pipe_new_012a.bmp,,,3
3,1.0,1,4.984999895095825,test,0,z,69789.29999999888,patrickkr,25015.000104904175,m,807,,11.0,yes,821.3999999985099,68967.90000000037,pipe_new_016a.bmp,pipe_new_016a.bmp,,,4
4,1.0,1,5.95799994468689,test,1,z,70762.5,patrickkr,24042.00005531311,z,957,,17.0,yes,968.0,69794.5,pipe_new_025a.bmp,pipe_new_025a.bmp,,,5
5,1.0,1,6.9049999713897705,test,1,m,71709.09999999963,patrickkr,23095.00002861023,m,926,,36.0,no,941.4000000003725,70767.69999999925,pipe_new_053a.bmp,pipe_new_054a.bmp,,,6
6,1.0,1,7.757999897003174,test,1,z,72562.5,patrickkr,22242.000102996826,z,845,,13.0,yes,848.0999999996275,71714.40000000037,pipe_new_019a.bmp,pipe_new_019a.bmp,,,7
7,1.0,1,8.385999917984009,test,1,z,73190.0,patrickkr,21614.00008201599,z,616,,15.0,yes,622.2000000011176,72567.79999999888,pipe_new_022a.bmp,pipe_new_022a.bmp,,,8
8,1.0,1,9.224999904632568,test,1,m,74029.09999999963,patrickkr,20775.00009536743,m,819,,4.0,no,833.5,73195.59999999963,pipe_new_005a.bmp,pipe_new_006a.bmp,,,9
9,1.0,1,10.118000030517578,test,1,z,74922.40000000037,patrickkr,19881.999969482422,z,876,,23.0,yes,888.4000000003725,74034.0,pipe_new_034a.bmp,pipe_new_034a.bmp,,,10
10,1.0,1,10.865999937057495,test,1,z,75669.90000000037,patrickkr,19134.000062942505,z,736,,1.0,yes,742.7000000011176,74927.19999999925,pipe_new_001a.bmp,pipe_new_001a.bmp,,,11
11,1.0,1,11.638000011444092,test,1,z,76442.5,patrickkr,18361.99998855591,z,756,,9.0,yes,768.0,75674.5,pipe_new_013a.bmp,pipe_new_013a.bmp,,,12
12,1.0,1,12.277999877929688,test,1,m,77082.5,patrickkr,17722.000122070312,m,622,,40.0,no,634.9000000003725,76447.59999999963,pipe_new_059a.bmp,pipe_new_060a.bmp,,,13
13,1.0,1,12.95799994468689,test,1,z,77762.29999999888,patrickkr,17042.00005531311,z,673,,7.0,yes,676.1999999992549,77086.09999999963,pipe_new_010a.bmp,pipe_new_010a.bmp,,,14
14,1.0,1,13.664999961853027,test,1,m,78468.90000000037,patrickkr,16335.000038146973,m,695,,6.0,no,701.4000000003725,77767.5,pipe_new_008a.bmp,pipe_new_009a.bmp,,,15
15,1.0,1,14.544999837875366,test,1,m,79348.79999999888,patrickkr,15455.000162124634,m,868,,34.0,no,875.0,78473.79999999888,pipe_new_050a.bmp,pipe_new_051a.bmp,,,16
16,1.0,1,15.105000019073486,test,1,m,79909.0,patrickkr,14894.999980926514,m,550,,2.0,no,557.0999999996275,79351.90000000037,pipe_new_002a.bmp,pipe_new_003a.bmp,,,17
17,1.0,1,15.717999935150146,test,1,m,80522.19999999925,patrickkr,14282.000064849854,m,595,,24.0,no,608.0,79914.19999999925,pipe_new_035a.bmp,pipe_new_036a.bmp,,,18
18,1.0,1,16.330999851226807,test,1,z,81135.5,patrickkr,13669.000148773193,z,606,,31.0,yes,608.5,80527.0,pipe_new_046a.bmp,pipe_new_046a.bmp,,,19
19,1.0,1,17.304999828338623,test,1,z,82108.79999999888,patrickkr,12695.000171661377,z,957,,21.0,yes,970.0,81138.79999999888,pipe_new_031a.bmp,pipe_new_031a.bmp,,,20
20,1.0,1,17.944999933242798,test,1,m,82748.69999999925,patrickkr,12055.000066757202,m,620,,16.0,no,634.7999999988824,82113.90000000037,pipe_new_023a.bmp,pipe_new_024a.bmp,,,21
21,1.0,1,18.717999935150146,test,1,z,83522.19999999925,patrickkr,11282.000064849854,z,766,,3.0,yes,769.5,82752.69999999925,pipe_new_004a.bmp,pipe_new_004a.bmp,,,22
22,1.0,1,19.39800000190735,test,1,z,84202.09999999963,patrickkr,10601.999998092651,z,664,,39.0,yes,675.1999999992549,83526.90000000037,pipe_new_058a.bmp,pipe_new_058a.bmp,,,23
23,1.0,1,20.051999807357788,test,1,m,84855.59999999963,patrickkr,9948.000192642212,m,638,,32.0,no,648.4000000003725,84207.19999999925,pipe_new_047a.bmp,pipe_new_048a.bmp,,,24
24,1.0,1,21.23799991607666,test,1,m,86042.29999999888,patrickkr,8762.00008392334,m,1169,,22.0,no,1181.8999999985099,84860.40000000037,pipe_new_032a.bmp,pipe_new_033a.bmp,,,25
25,1.0,1,22.13099980354309,test,1,z,86935.29999999888,patrickkr,7869.000196456909,z,881,,25.0,yes,889.2999999988824,86046.0,pipe_new_037a.bmp,pipe_new_037a.bmp,,,26
26,1.0,1,22.85099983215332,test,1,m,87655.40000000037,patrickkr,7149.00016784668,m,705,,10.0,no,715.1000000014901,86940.29999999888,pipe_new_014a.bmp,pipe_new_015a.bmp,,,27
27,1.0,1,23.490999937057495,test,1,z,88295.40000000037,patrickkr,6509.000062942505,z,625,,5.0,yes,634.6000000014901,87660.79999999888,pipe_new_007a.bmp,pipe_new_007a.bmp,,,28
28,1.0,1,24.210999965667725,test,1,z,89015.29999999888,patrickkr,5789.000034332275,z,708,,35.0,yes,715.5999999996275,88299.69999999925,pipe_new_052a.bmp,pipe_new_052a.bmp,,,29
29,1.0,1,24.85099983215332,test,1,m,89654.69999999925,patrickkr,5149.00016784668,m,626,,18.0,no,634.0,89020.69999999925,pipe_new_026a.bmp,pipe_new_027a.bmp,,,30
30,1.0,1,25.51799988746643,test,1,m,90322.0,patrickkr,4482.000112533569,m,659,,20.0,no,662.5,89659.5,pipe_new_029a.bmp,pipe_new_030a.bmp,,,31
31,1.0,1,26.18400001525879,test,1,m,90988.40000000037,patrickkr,3815.999984741211,m,647,,12.0,no,661.6000000014901,90326.79999999888,pipe_new_017a.bmp,pipe_new_018a.bmp,,,32
32,1.0,1,27.3439998626709,test,1,m,92148.5,patrickkr,2656.0001373291016,m,1149,,26.0,no,1155.2000000011176,90993.29999999888,pipe_new_038a.bmp,pipe_new_039a.bmp,,,33
33,1.0,1,27.891000032424927,test,1,m,92695.09999999963,patrickkr,2108.9999675750732,m,531,,14.0,no,540.9000000003725,92154.19999999925,pipe_new_020a.bmp,pipe_new_021a.bmp,,,34
34,1.0,1,28.51799988746643,test,1,z,93321.69999999925,patrickkr,1482.0001125335693,z,612,,29.0,yes,622.5999999996275,92699.09999999963,pipe_new_043a.bmp,pipe_new_043a.bmp,,,35
35,1.0,1,29.197999954223633,test,1,m,94002.0,patrickkr,802.0000457763672,m,671,,30.0,no,675.0,93327.0,pipe_new_044a.bmp,pipe_new_045a.bmp,,,36
36,1.0,1,29.997999906539917,test,1,m,94801.69999999925,patrickkr,2.000093460083008,m,791,,28.0,no,795.0999999996275,94006.59999999963,pipe_new_041a.bmp,pipe_new_042a.bmp,,,37
36,1.0,1,30.01099991798401,test,0,z,94815.29999999888,patrickkr,-10.999917984008789,None,8,,33.0,yes,9.399999998509884,94805.90000000037,pipe_new_049a.bmp,pipe_new_049a.bmp,,,38
1,2.0,2,1.9199998378753662,test,1,z,98935.0,patrickkr,28080.000162124634,z,1908,,25.0,yes,4129.0999999996275,94805.90000000037,pipe_new_097a.bmp,pipe_new_097a.bmp,,,1
2,2.0,2,2.4800000190734863,test,1,z,99495.09999999963,patrickkr,27519.999980926514,z,547,,29.0,yes,4689.199999999255,94805.90000000037,pipe_new_103a.bmp,pipe_new_103a.bmp,,,2
3,2.0,2,3.5329999923706055,test,1,z,100548.09999999963,patrickkr,26467.000007629395,z,1042,,7.0,yes,5742.199999999255,94805.90000000037,pipe_new_070a.bmp,pipe_new_070a.bmp,,,3
4,2.0,2,4.319999933242798,test,1,z,101334.90000000037,patrickkr,25680.000066757202,z,775,,31.0,yes,6529.0,94805.90000000037,pipe_new_106a.bmp,pipe_new_106a.bmp,,,4
5,2.0,2,4.9059998989105225,test,1,m,101921.59999999963,patrickkr,25094.000101089478,m,578,,12.0,no,7115.699999999255,94805.90000000037,pipe_new_077a.bmp,pipe_new_078a.bmp,,,5
6,2.0,2,5.50600004196167,test,1,m,102521.59999999963,patrickkr,24493.99995803833,m,584,,24.0,no,7715.699999999255,94805.90000000037,pipe_new_095a.bmp,pipe_new_096a.bmp,,,6
7,2.0,2,6.213000059127808,test,1,m,103228.29999999888,patrickkr,23786.999940872192,m,687,,34.0,no,8422.39999999851,94805.90000000037,pipe_new_110a.bmp,pipe_new_111a.bmp,,,7
8,2.0,2,6.865999937057495,test,1,z,103881.5,patrickkr,23134.000062942505,z,637,,21.0,yes,9075.599999999627,94805.90000000037,pipe_new_091a.bmp,pipe_new_091a.bmp,,,8
9,2.0,2,7.440000057220459,test,1,m,104454.79999999888,patrickkr,22559.99994277954,m,561,,28.0,no,9648.89999999851,94805.90000000037,pipe_new_101a.bmp,pipe_new_102a.bmp,,,9
10,2.0,2,8.05299997329712,test,1,z,105068.0,patrickkr,21947.00002670288,z,595,,9.0,yes,10262.099999999627,94805.90000000037,pipe_new_073a.bmp,pipe_new_073a.bmp,,,10
11,2.0,2,9.213000059127808,test,1,z,106227.90000000037,patrickkr,20786.999940872192,z,1150,,1.0,yes,11422.0,94805.90000000037,pipe_new_061a.bmp,pipe_new_061a.bmp,,,11
12,2.0,2,9.839999914169312,test,1,m,106854.79999999888,patrickkr,20160.00008583069,m,613,,6.0,no,12048.89999999851,94805.90000000037,pipe_new_068a.bmp,pipe_new_069a.bmp,,,12
13,2.0,2,10.773000001907349,test,1,z,107787.90000000037,patrickkr,19226.99999809265,z,915,,5.0,yes,12982.0,94805.90000000037,pipe_new_067a.bmp,pipe_new_067a.bmp,,,13
14,2.0,2,11.919999837875366,test,1,m,108934.69999999925,patrickkr,18080.000162124634,m,1134,,20.0,no,14128.799999998882,94805.90000000037,pipe_new_089a.bmp,pipe_new_090a.bmp,,,14
15,2.0,2,12.692999839782715,test,1,m,109707.90000000037,patrickkr,17307.000160217285,m,755,,32.0,no,14902.0,94805.90000000037,pipe_new_107a.bmp,pipe_new_108a.bmp,,,15
16,2.0,2,13.66599988937378,test,1,z,110681.5,patrickkr,16334.00011062622,z,959,,33.0,yes,15875.599999999627,94805.90000000037,pipe_new_109a.bmp,pipe_new_109a.bmp,,,16
17,2.0,2,14.266000032424927,test,1,m,111281.19999999925,patrickkr,15733.999967575073,m,591,,38.0,no,16475.299999998882,94805.90000000037,pipe_new_116a.bmp,pipe_new_117a.bmp,,,17
17,2.0,2,15.026000022888184,test,0,m,112041.19999999925,patrickkr,14973.999977111816,z,745,,22.0,no,17235.299999998882,94805.90000000037,pipe_new_092a.bmp,pipe_new_093a.bmp,,,18
18,2.0,2,15.89299988746643,test,1,z,112907.90000000037,patrickkr,14107.00011253357,z,850,,15.0,yes,18102.0,94805.90000000037,pipe_new_082a.bmp,pipe_new_082a.bmp,,,19
19,2.0,2,16.546000003814697,test,1,z,113561.19999999925,patrickkr,13453.999996185303,z,637,,17.0,yes,18755.299999998882,94805.90000000037,pipe_new_085a.bmp,pipe_new_085a.bmp,,,20
20,2.0,2,17.10599994659424,test,1,m,114121.19999999925,patrickkr,12894.000053405762,m,544,,8.0,no,19315.299999998882,94805.90000000037,pipe_new_071a.bmp,pipe_new_072a.bmp,,,21
21,2.0,2,17.94599986076355,test,1,m,114961.09999999963,patrickkr,12054.00013923645,m,831,,2.0,no,20155.199999999255,94805.90000000037,pipe_new_062a.bmp,pipe_new_063a.bmp,,,22
22,2.0,2,18.705999851226807,test,1,z,115721.0,patrickkr,11294.000148773193,z,747,,27.0,yes,20915.099999999627,94805.90000000037,pipe_new_100a.bmp,pipe_new_100a.bmp,,,23
23,2.0,2,19.465999841690063,test,1,m,116481.29999999888,patrickkr,10534.000158309937,m,753,,36.0,no,21675.39999999851,94805.90000000037,pipe_new_113a.bmp,pipe_new_114a.bmp,,,24
24,2.0,2,20.213000059127808,test,1,m,117227.79999999888,patrickkr,9786.999940872192,m,727,,18.0,no,22421.89999999851,94805.90000000037,pipe_new_086a.bmp,pipe_new_087a.bmp,,,25
25,2.0,2,20.99899983406067,test,1,m,118014.40000000037,patrickkr,9001.000165939331,m,767,,14.0,no,23208.5,94805.90000000037,pipe_new_080a.bmp,pipe_new_081a.bmp,,,26
